rec_id,sym,edge_bps,mfe,mae,pnl,ret_at_exit,rank,rec_score,rec_feas,rec_conf,rec_voters,vol_bps,dur,armed,label_base_top_pct_proxy,label_dur_ge,label_ret_pos,good_trade_top_20_mfe
292,NYKAA.NS,29.25,0.001157,-0.008317,-2.3e-05,-0.019792,0.2332,0.004293,1.0,0.9909,2,40.0,2,0,0,5,1,0
330,ONGC.NS,29.25,0.00152,-0.000532,0.000299,0.196982,0.023,0.000289,0.05,0.7268,5,40.0,1,0,0,5,1,0
328,NYKAA.NS,29.25,0.005804,-0.00288,0.000299,0.051593,0.0292,0.000374,0.05,0.7732,4,40.0,2,0,1,5,1,0
333,GODREJPROP.NS,29.25,0.002929,-0.000657,0.000299,0.102244,0.0324,0.00047,0.05,0.7598,3,40.0,1,0,0,5,1,0
339,GODREJPROP.NS,29.25,0.002969,-0.002416,0.000158,0.053374,0.0268,0.000354,0.05,0.7421,4,40.0,3,0,0,5,1,0
354,INFY.NS,29.25,0.004401,-0.001711,-0.000197,-0.044727,0.0236,0.000294,0.05,0.6264,3,70.0,2,0,0,5,1,0
364,CDSL.NS,28.268,0.001946,-0.001211,0.00045,0.231094,0.0378,0.000488,0.05,0.8774,5,25.0,1,0,0,5,1,0
379,KOTAKBANK.NS,28.268,0.000915,-0.002366,0.00045,0.491178,0.0411,0.000468,0.05,0.7729,2,25.0,1,0,0,5,1,0
408,NYKAA.NS,29.25,0.004835,-0.001853,0.000299,0.061931,0.4363,0.008168,0.9999,0.9987,4,40.0,1,0,1,5,1,0
420,BSE.NS,28.268,0.001556,-0.00094,0.00045,0.288939,0.0366,0.000486,0.05,0.8435,4,25.0,1,0,0,5,1,0
439,TATASTEEL.NS,29.25,0.000755,-0.009494,-0.0006,-0.794242,0.1978,0.003693,0.9999,0.9937,4,40.0,2,0,0,5,1,0
451,NYKAA.NS,29.25,0.008962,-0.002405,-1e-06,-9e-05,0.4768,0.009747,0.9999,0.9989,4,70.0,1,0,1,5,1,0
517,DLF.NS,24.309,0.001893,-0.003407,0.000149,0.078888,0.2757,0.003741,1.0,0.9974,5,55.0,1,0,0,5,1,0
510,BSE.NS,29.25,0.002012,-0.000438,0.000299,0.148832,0.701,0.010665,1.0,0.9993,3,40.0,1,0,0,5,1,0
583,DEEPAKNTR.NS,29.25,0.005745,-0.000884,0.000149,0.025994,0.9606,0.017499,1.0,0.9997,4,55.0,1,0,1,5,1,0
624,GODREJPROP.NS,24.309,0.001645,-0.00092,7.9e-05,0.047913,0.2233,0.003741,1.0,0.9934,3,55.0,1,0,0,5,1,0
631,POLICYBZR.NS,28.268,0.004391,-0.002495,0.00045,0.102386,0.0307,0.000372,0.05,0.8251,5,25.0,1,0,0,5,1,0
646,BSE.NS,46.405,0.001298,-0.000516,-3e-06,-0.00241,0.0233,0.000331,0.05,0.7308,5,70.0,1,0,0,5,1,0
649,BSE.NS,46.405,0.000731,-0.002325,-0.0009,-1.2313,0.0197,0.000256,0.05,0.6613,5,70.0,2,0,0,5,1,0
652,POLICYBZR.NS,25.925,0.006755,-0.002224,0.000149,0.022107,0.0295,0.000409,0.05,0.8141,5,55.0,1,0,1,5,1,0
