family,instance,utilization_pct,global_constructor_enabled,seed,feasible_at_gen_0,generations_to_first_feasible,final_feasible,initial_fitness,first_feasible_fitness,best_fitness,final_fitness,seed_population_size,seed_feasible_count,construction_ms,optimization_ms,total_wall_ms,construction_overhead_pct
B,B1,95,true,21,false,119,true,-961623.2,40953.6,44754.4,44754.4,100,0,1001,195345,196346,0.51
B,B1,95,false,22,false,279,true,-1061751.6,44859.6,45560,45560,100,0,0,201497,201497,0.00
B,B1,95,true,22,false,279,true,-1061751.6,44859.6,45560,45560,100,0,1008,193115,194124,0.52
B,B1,95,false,23,false,44,true,-762614.4,37850.4,44055.6,44055.6,100,0,0,192470,192471,0.00
B,B1,95,true,23,false,44,true,-762614.4,37850.4,44055.6,44055.6,100,0,1001,196637,197638,0.51
B,B1,95,false,24,false,67,true,-1062348.8,38851.6,44255.6,44255.6,100,0,0,195915,195915,0.00
B,B1,95,true,24,false,67,true,-1062348.8,38851.6,44255.6,44255.6,100,0,1001,195797,196798,0.51
B,B1,95,false,25,false,232,true,-861612.8,43543.2,45750,45750,100,0,0,198710,198710,0.00
B,B1,95,true,25,false,232,true,-861612.8,43543.2,45750,45750,100,0,1002,203140,204142,0.49
B,B1,95,false,26,false,57,true,-863905.2,37546.8,43353.6,43353.6,100,0,0,195798,195798,0.00
B,B1,95,true,26,false,57,true,-863905.2,37546.8,43353.6,43353.6,100,0,1001,196985,197986,0.51
B,B1,95,false,27,false,150,true,-762102,41657.6,45054.8,45054.8,100,0,0,193533,193533,0.00
B,B1,95,true,27,false,150,true,-762102,41657.6,45054.8,45054.8,100,0,1001,192782,193784,0.52
B,B1,95,false,28,false,105,true,-861200.4,41152.4,44557.6,44557.6,100,0,0,192913,192913,0.00
B,B1,95,true,28,false,105,true,-861200.4,41152.4,44557.6,44557.6,100,0,1001,194704,195706,0.51
B,B1,95,false,29,false,92,true,-1161423.2,41161.2,46260,46260,100,0,0,194139,194139,0.00
B,B1,95,true,29,false,92,true,-1161423.2,41161.2,46260,46260,100,0,1002,188899,189901,0.53
B,B1,95,false,30,false,103,true,-862110.4,40252.4,44850.8,44850.8,100,0,0,193967,193967,0.00
B,B1,95,true,30,false,103,true,-862110.4,40252.4,44850.8,44850.8,100,0,1001,192394,193396,0.52
B,B2,95,false,1,false,13,true,-160836,39292.8,47936,47936,100,0,0,192847,192847,0.00
B,B2,95,true,1,false,13,true,-160836,39292.8,47936,47936,100,0,1001,190843,191844,0.52
B,B2,95,false,2,false,15,true,-160763.2,39891.2,48820,48820,100,0,0,195332,195332,0.00
B,B2,95,true,2,false,15,true,-160763.2,39891.2,48820,48820,100,0,1001,194511,195512,0.51
B,B2,95,false,3,false,15,true,-161050.4,39296,47037.6,47037.6,100,0,0,192904,192905,0.00
B,B2,95,true,3,false,15,true,-161050.4,39296,47037.6,47037.6,100,0,1001,198062,199063,0.51
B,B2,95,false,4,false,12,true,-259564.8,39986.4,49639.2,49639.2,100,0,0,193975,193975,0.00
B,B2,95,true,4,false,12,true,-259564.8,39986.4,49639.2,49639.2,100,0,1002,194857,195859,0.51
B,B2,95,false,5,false,4,true,-62936,37297.6,47036,47036,100,0,0,191131,191131,0.00
B,B2,95,true,5,false,4,true,-62936,37297.6,47036,47036,100,0,1001,197838,198840,0.51
B,B2,95,false,6,false,13,true,-60850.399999999994,39173.6,48034.4,48034.4,100,0,0,197284,197284,0.00
B,B2,95,true,6,false,13,true,-60850.399999999994,39173.6,48034.4,48034.4,100,0,1001,190613,191615,0.53
B,B2,95,false,7,true,0,true,39984.8,39984.8,48929.6,48929.6,100,1,0,189959,189959,0.00
B,B2,95,true,7,true,0,true,39984.8,39984.8,48929.6,48929.6,100,1,1001,186650,187651,0.54
B,B2,95,false,8,true,0,true,41765.6,41765.6,49832.8,49832.8,100,1,0,190623,190623,0.00
B,B2,95,true,8,true,0,true,41765.6,41765.6,49832.8,49832.8,100,1,1001,192155,193156,0.52
B,B2,95,false,9,false,28,true,-360584,43100.8,50637.6,50637.6,100,0,0,189434,189435,0.00
B,B2,95,true,9,false,28,true,-360584,43100.8,50637.6,50637.6,100,0,1001,185926,186928,0.54
B,B2,95,false,10,false,147,true,-258713.59999999998,45726.4,50326.4,50326.4,100,0,0,185415,185416,0.00
B,B2,95,true,10,false,147,true,-258713.59999999998,45726.4,50326.4,50326.4,100,0,1001,190367,191369,0.53
B,B2,95,false,11,false,22,true,-61123.2,39108.8,47631.2,47631.2,100,0,0,194859,194859,0.00
B,B2,95,true,11,false,22,true,-61123.2,39108.8,47631.2,47631.2,100,0,1001,189781,190782,0.53
B,B2,95,false,12,false,100,true,-161445.6,41921.6,47631.2,47631.2,100,0,0,197861,197861,0.00
B,B2,95,true,12,false,100,true,-161445.6,41921.6,47631.2,47631.2,100,0,1001,199102,200104,0.50
B,B2,95,false,13,false,18,true,-258424.8,41805.6,49740.8,49740.8,100,0,0,188557,188559,0.00
B,B2,95,true,13,false,18,true,-258424.8,41805.6,49740.8,49740.8,100,0,1001,203266,204268,0.49
B,B2,95,false,14,false,12,true,-360663.2,39773.6,49340.8,49340.8,100,0,0,189486,189486,0.00
B,B2,95,true,14,false,12,true,-360663.2,39773.6,49340.8,49340.8,100,0,1001,192198,193200,0.52
B,B2,95,false,15,false,32,true,-162256.8,38791.2,46528,46528,100,0,0,189971,189971,0.00
B,B2,95,true,15,false,32,true,-162256.8,38791.2,46528,46528,100,0,1001,192923,193925,0.52
B,B2,95,false,16,false,15,true,-158434.4,41712,49923.2,49923.2,100,0,0,199895,199896,0.00
B,B2,95,true,16,false,15,true,-158434.4,41712,49923.2,49923.2,100,0,1002,194530,195532,0.52
B,B2,95,false,17,false,16,true,-161542.4,38396,46624.8,46624.8,100,0,0,198532,198532,0.00
B,B2,95,true,17,false,16,true,-161542.4,38396,46624.8,46624.8,100,0,1001,201891,202892,0.50
B,B2,95,false,18,false,10,true,-159266.4,40997.6,49332.8,49332.8,100,0,0,197049,197049,0.00
B,B2,95,true,18,false,10,true,-159266.4,40997.6,49332.8,49332.8,100,0,1001,190597,191599,0.53
B,B2,95,false,19,true,0,true,38880,38880,48232.8,48232.8,100,1,0,197288,197289,0.00
B,B2,95,true,19,true,0,true,38880,38880,48232.8,48232.8,100,1,1001,192778,193780,0.52
B,B2,95,false,20,true,0,true,38976.8,38976.8,47528,47528,100,1,0,198427,198427,0.00
B,B2,95,true,20,true,0,true,38976.8,38976.8,47528,47528,100,1,1001,197051,198052,0.51
B,B2,95,false,21,false,4,true,-60623.2,38602.4,47828,47828,100,0,0,195156,195156,0.00
B,B2,95,true,21,false,4,true,-60623.2,38602.4,47828,47828,100,0,1001,194997,195998,0.51
B,B2,95,false,22,false,10,true,-59547.2,40576.8,49429.6,49429.6,100,0,0,191004,191004,0.00
B,B2,95,true,22,false,10,true,-59547.2,40576.8,49429.6,49429.6,100,0,1001,193952,194953,0.52
B,B2,95,false,23,false,12,true,-158837.6,41502.4,50232.8,50232.8,100,0,0,193674,193675,0.00
B,B2,95,true,23,false,12,true,-158837.6,41502.4,50232.8,50232.8,100,0,1001,192872,193874,0.52
B,B2,95,false,24,false,12,true,-61039.2,38992.8,47632.8,47632.8,100,0,0,195131,195131,0.00
B,B2,95,true,24,false,12,true,-61039.2,38992.8,47632.8,47632.8,100,0,1001,195363,196365,0.51
B,B2,95,false,25,false,8,true,-159056.8,41094.4,48431.2,48431.2,100,0,0,194265,194266,0.00
B,B2,95,true,25,false,8,true,-159056.8,41094.4,48431.2,48431.2,100,0,1001,190863,191865,0.52
B,B2,95,false,26,false,17,true,-160958.4,40802.4,48240.8,48240.8,100,0,0,196735,196735,0.00
B,B2,95,true,26,false,17,true,-160958.4,40802.4,48240.8,48240.8,100,0,1001,195572,196573,0.51
B,B2,95,false,27,false,41,true,-359287.2,41805.6,49237.6,49237.6,100,0,0,194153,194153,0.00
B,B2,95,true,27,false,41,true,-359287.2,41805.6,49237.6,49237.6,100,0,1001,191091,192093,0.52
B,B2,95,false,28,false,76,true,-359812.8,43920,49036,49036,100,0,0,188973,188973,0.00
B,B2,95,true,28,false,76,true,-359812.8,43920,49036,49036,100,0,1001,189712,190713,0.53
B,B2,95,false,29,false,10,true,-162161.6,37876.8,47634.4,47634.4,100,0,0,187643,187643,0.00
B,B2,95,true,29,false,10,true,-162161.6,37876.8,47634.4,47634.4,100,0,1001,193433,194434,0.52
B,B2,95,false,30,false,8,true,-60226.399999999994,39997.6,49234.4,49234.4,100,0,0,193215,193216,0.00
B,B2,95,true,30,false,8,true,-60226.399999999994,39997.6,49234.4,49234.4,100,0,1007,196449,197466,0.51
B,B3,95,false,1,false,33,true,-461755.2,39323.2,47328,47328,100,0,0,190241,190242,0.00
B,B3,95,true,1,false,33,true,-461755.2,39323.2,47328,47328,100,0,1001,202903,203904,0.49
B,B3,95,false,2,false,183,true,-363926.4,44132.8,46832.8,46832.8,100,0,0,185001,185001,0.00
B,B3,95,true,2,false,183,true,-363926.4,44132.8,46832.8,46832.8,100,0,1001,192008,193009,0.52
B,B3,95,false,3,false,28,true,-362429.6,38702.4,47315.2,47315.2,100,0,0,193884,193884,0.00
B,B3,95,true,3,false,28,true,-362429.6,38702.4,47315.2,47315.2,100,0,1001,189586,190587,0.53
B,B3,95,false,4,false,21,true,-262240.8,38000.8,47736,47736,100,0,0,189124,189124,0.00
B,B3,95,true,4,false,21,true,-262240.8,38000.8,47736,47736,100,0,1001,198027,199029,0.51
B,B3,95,false,5,false,24,true,-262037.59999999998,38110.4,46947.2,46947.2,100,0,0,200638,200638,0.00
B,B3,95,true,5,false,24,true,-262037.59999999998,38110.4,46947.2,46947.2,100,0,1001,189056,190058,0.53
B,B3,95,false,6,false,11,true,-61608.8,38505.6,47534.4,47534.4,100,0,0,187617,187618,0.00
B,B3,95,true,6,false,11,true,-61608.8,38505.6,47534.4,47534.4,100,0,1001,188052,189053,0.53
B,B3,95,false,7,false,null,false,-262950.4,0,-52872,-52872,100,0,0,190019,190019,0.00
B,B3,95,true,7,false,null,false,-262950.4,0,-52872,-52872,100,0,1001,200246,201247,0.50
B,B3,95,false,8,false,18,true,-460493.6,40199.2,48636,48636,100,0,0,200560,200560,0.00
B,B3,95,true,8,false,18,true,-460493.6,40199.2,48636,48636,100,0,1001,203264,204266,0.49
B,B3,95,false,9,false,117,true,-661292,42423.2,48436,48436,100,0,0,193412,193412,0.00
B,B3,95,true,9,false,117,true,-661292,42423.2,48436,48436,100,0,1001,189862,190863,0.53
B,B3,95,false,10,false,22,true,-361593.6,38688,47224.8,47224.8,100,0,0,191311,191311,0.00
B,B3,95,true,10,false,22,true,-361593.6,38688,47224.8,47224.8,100,0,1001,188710,189711,0.53
B,B3,95,false,11,false,30,true,-261124.8,39524.8,47444,47444,100,0,0,192021,192021,0.00
B,B3,95,true,11,false,30,true,-261124.8,39524.8,47444,47444,100,0,1001,188685,189687,0.53
B,B3,95,false,12,false,46,true,-361966.4,39505.6,46637.6,46637.6,100,0,0,194458,194458,0.00
B,B3,95,true,12,false,46,true,-361966.4,39505.6,46637.6,46637.6,100,0,1001,195348,196350,0.51
B,B3,95,false,13,false,21,true,-362058.4,38692.8,47520,47520,100,0,0,189584,189584,0.00
B,B3,95,true,13,false,21,true,-362058.4,38692.8,47520,47520,100,0,1001,188925,189926,0.53
B,B3,95,false,14,false,79,true,-462506.4,40507.2,46723.2,46723.2,100,0,0,188364,188364,0.00
