utilization_pct,global_constructor_enabled,seed,feasible_at_gen_0,generations_to_first_feasible,final_feasible,initial_fitness,first_feasible_fitness,best_fitness,final_fitness,seed_population_size,seed_feasible_count,construction_ms,optimization_ms,total_wall_ms,construction_overhead_pct
85,true,22,true,0,true,74880,74880,74880,74880,100,100,1,13676,13677,0.01
85,false,23,true,0,true,43838.4,43838.4,60941.6,60941.6,100,100,0,14447,14447,0.00
85,true,23,true,0,true,74880,74880,74880,74880,100,100,1,13583,13585,0.01
85,false,24,true,0,true,44176.8,44176.8,60428.8,60428.8,100,100,0,14339,14339,0.00
85,true,24,true,0,true,74880,74880,74880,74880,100,100,1,13525,13526,0.01
85,false,25,true,0,true,44351.2,44351.2,61735.2,61735.2,100,100,0,14282,14282,0.00
85,true,25,true,0,true,74880,74880,74880,74880,100,100,1,13809,13811,0.01
85,false,26,true,0,true,43670.4,43670.4,61367.2,61367.2,100,100,0,14576,14576,0.00
85,true,26,true,0,true,74880,74880,74880,74880,100,100,1,13672,13673,0.01
85,false,27,true,0,true,43312.8,43312.8,59516,59516,100,100,0,14385,14385,0.00
85,true,27,true,0,true,74880,74880,74880,74880,100,100,1,13672,13673,0.01
85,false,28,true,0,true,44608.8,44608.8,60767.2,60767.2,100,100,0,14925,14925,0.00
85,true,28,true,0,true,74880,74880,74880,74880,100,100,1,13982,13984,0.01
85,false,29,true,0,true,43864,43864,61267.2,61267.2,100,100,0,14665,14665,0.00
85,true,29,true,0,true,74880,74880,74880,74880,100,100,1,13841,13842,0.01
85,false,30,true,0,true,44244.8,44244.8,61035.2,61035.2,100,100,0,15070,15070,0.00
85,true,30,true,0,true,74880,74880,74880,74880,100,100,1,13837,13838,0.01
90,false,1,true,0,true,44454.4,44454.4,59640,59640,100,100,0,15875,15875,0.00
90,true,1,true,0,true,79840,79840,79840,79840,100,100,1,15330,15332,0.01
90,false,2,true,0,true,44516,44516,61140,61140,100,100,0,15938,15938,0.00
90,true,2,true,0,true,79840,79840,79840,79840,100,100,1,15479,15480,0.01
90,false,3,true,0,true,44796.8,44796.8,59640,59640,100,100,0,16085,16085,0.00
