env,penalty,mode,seed,target,coverage,entropy,retention,regret,surprise_pct,elasticity,recovery,preserved,recovered,hybrid,rediscovered
DelayedPayoff,500,GA+SA,114,Z,1,0.0000,0.0000,0.0238,100.0,0.0200,999,0,0,0,0
DelayedPayoff,500,GA+SA,115,Y,2,0.7219,0.4555,0.0833,100.0,0.0000,999,0,0,0,0
DelayedPayoff,500,GA+SA,116,Z,1,0.0000,0.0000,-0.0571,100.0,-0.0200,999,0,0,0,0
DelayedPayoff,500,GA+SA,117,Z,1,0.0000,0.0000,0.1389,100.0,0.0000,999,0,0,0,0
DelayedPayoff,500,GA+SA,118,X,3,1.4591,0.9206,0.0333,100.0,0.0200,999,0,0,0,0
DelayedPayoff,500,GA+SA,119,Y,1,0.0000,0.0000,0.0238,100.0,-0.0400,999,0,0,0,0
DelayedPayoff,1000,GA,100,Z,1,0.0000,0.0000,0.1250,100.0,0.0200,999,0,0,0,0
DelayedPayoff,1000,GA,101,Z,1,0.0000,0.0000,-0.0238,100.0,-0.0200,999,0,0,0,0
DelayedPayoff,1000,GA,102,Z,0,0.0000,0.0000,0.0000,100.0,-0.0200,999,0,0,0,0
DelayedPayoff,1000,GA,103,Z,1,0.0000,0.0000,0.0571,100.0,0.0000,999,0,0,0,0
DelayedPayoff,1000,GA,104,X,2,0.9183,0.5794,0.0417,100.0,0.0000,999,0,0,0,0
DelayedPayoff,1000,GA,105,X,1,0.0000,0.0000,0.0571,100.0,0.0000,999,0,0,0,0
DelayedPayoff,1000,GA,106,Z,0,0.0000,0.0000,-0.0179,100.0,0.0200,999,0,0,0,0
DelayedPayoff,1000,GA,107,X,1,0.0000,0.0000,-0.1071,100.0,0.0000,999,0,0,0,0
DelayedPayoff,1000,GA,108,Z,1,0.0000,0.0000,0.0238,100.0,0.0200,999,0,0,0,0
DelayedPayoff,1000,GA,109,Y,0,0.0000,0.0000,0.0000,100.0,0.0400,999,0,0,0,0
DelayedPayoff,1000,GA,110,X,0,0.0000,0.0000,0.0179,100.0,-0.0200,999,0,0,0,0
DelayedPayoff,1000,GA,111,Y,2,0.9183,0.5794,0.0333,100.0,-0.0400,999,0,0,0,0
DelayedPayoff,1000,GA,112,Z,0,0.0000,0.0000,0.0317,100.0,0.0400,999,0,0,0,0
DelayedPayoff,1000,GA,113,X,2,0.8113,0.5119,0.0750,100.0,-0.0200,999,0,0,0,0
