generation,parent_fitness,parent_hc_cov,parent_hc_skills,parent_hc_1shift,parent_hc_forb,parent_soft_pen,objective_delta,survived_generation,became_champion
2,6845,7000,9000,36000,36000,5155,-1030,false,false
2,13730,9000,13000,32000,27000,5270,0,false,false
2,14590,9000,6000,41000,24000,5410,0,false,false
2,16280,14000,8000,33000,24000,4720,-25,true,false
2,11050,10000,9000,42000,23000,4950,-1025,false,false
2,7290,10000,11000,41000,26000,4710,-1000,false,false
2,15445,14000,8000,34000,24000,4555,-1150,false,false
2,10100,11000,9000,41000,24000,4900,-2000,false,false
2,10100,11000,9000,41000,24000,4900,30,false,false
2,14675,9000,6000,41000,24000,5325,925,true,false
2,14675,9000,6000,41000,24000,5325,-2070,false,false
2,16280,14000,8000,33000,24000,4720,-1030,true,false
2,6245,10000,12000,41000,26000,4755,0,false,false
2,7290,10000,11000,41000,26000,4710,0,false,false
2,14590,9000,6000,41000,24000,5410,0,false,false
2,16280,14000,8000,33000,24000,4720,-60,true,false
2,18650,9000,6000,39000,22000,5350,0,true,false
2,13600,11000,13000,31000,26000,5400,0,false,false
2,10555,11000,14000,32000,27000,5445,1065,false,false
2,16620,9000,6000,40000,23000,5380,-1045,true,false
2,7290,10000,11000,41000,26000,4710,0,false,false
2,15740,9000,6000,40000,24000,5260,0,true,false
2,16620,9000,6000,40000,23000,5380,1000,true,false
2,14560,10000,6000,40000,24000,5440,-35,false,false
2,16620,9000,6000,40000,23000,5380,-980,true,false
2,14560,10000,6000,40000,24000,5440,0,false,false
2,15445,14000,8000,34000,24000,4555,985,true,false
2,16620,9000,6000,40000,23000,5380,-2000,true,false
2,16280,14000,8000,33000,24000,4720,-90,true,false
2,16620,9000,6000,40000,23000,5380,1005,true,false
2,13010,11000,9000,40000,22000,4990,165,false,false
2,15575,9000,6000,40000,24000,5425,-970,true,false
2,14310,14000,8000,35000,24000,4690,-105,false,false
2,16280,14000,8000,33000,24000,4720,0,true,false
2,15685,9000,6000,42000,22000,5315,-1035,true,false
2,13010,11000,9000,40000,22000,4990,0,false,false
2,13010,11000,9000,40000,22000,4990,920,false,false
2,16620,9000,6000,40000,23000,5380,-1925,true,false
2,14590,9000,6000,41000,24000,5410,0,false,false
2,2255,12000,12000,39000,30000,4745,0,false,false
2,16280,14000,8000,33000,24000,4720,0,true,false
2,15615,9000,6000,41000,23000,5385,20,true,false
2,15645,9000,6000,40000,24000,5355,-1905,false,false
2,5245,10000,11000,42000,27000,4755,-970,false,false
2,15590,9000,6000,41000,23000,5410,-1140,false,false
2,2255,12000,12000,39000,30000,4745,-1030,false,false
2,7270,10000,11000,41000,26000,4730,-985,false,false
2,5395,10000,12000,41000,27000,4605,0,false,false
2,8095,11000,10000,42000,24000,4905,-2020,false,false
2,15385,14000,8000,33000,25000,4615,0,true,false
2,16615,9000,6000,40000,23000,5385,0,true,false
2,5330,6000,10000,49000,25000,4670,2030,false,false
2,5245,10000,11000,42000,27000,4755,25,false,false
2,11050,10000,9000,42000,23000,4950,0,false,false
2,3385,6000,11000,50000,25000,4615,-1085,false,false
2,2255,12000,12000,39000,30000,4745,-955,false,false
2,16280,14000,8000,33000,24000,4720,-955,true,false
2,15740,9000,6000,40000,24000,5260,-5,true,false
2,7290,10000,11000,41000,26000,4710,0,false,false
2,17620,9000,6000,39000,23000,5380,-975,true,false
2,16280,14000,8000,33000,24000,4720,1030,true,false
2,16280,14000,8000,33000,24000,4720,-2035,false,false
2,14310,14000,8000,35000,24000,4690,0,false,false
2,15575,9000,6000,40000,24000,5425,1090,true,false
2,18650,9000,6000,39000,22000,5350,0,true,false
2,7290,10000,11000,41000,26000,4710,-5,false,false
2,15385,14000,8000,33000,25000,4615,0,true,false
2,14590,9000,6000,41000,24000,5410,1000,true,false
2,14675,9000,6000,41000,24000,5325,-1010,false,false
2,15385,14000,8000,33000,25000,4615,1910,true,false
2,14675,9000,6000,41000,24000,5325,0,true,false
2,10555,11000,14000,32000,27000,5445,-1030,false,false
2,14675,9000,6000,41000,24000,5325,-1995,false,false
2,16620,9000,6000,40000,23000,5380,-970,true,false
2,14280,14000,9000,34000,24000,4720,-50,false,false
2,16620,9000,6000,40000,23000,5380,0,true,false
2,10555,11000,14000,32000,27000,5445,1030,false,false
2,14625,9000,7000,40000,24000,5375,-5,true,false
2,14590,9000,6000,41000,24000,5410,975,true,false
2,16620,9000,6000,40000,23000,5380,895,true,false
2,16620,9000,6000,40000,23000,5380,-865,true,false
2,6755,9000,16000,39000,24000,5245,0,false,false
2,16620,9000,6000,40000,23000,5380,0,true,false
2,16615,9000,6000,40000,23000,5385,0,true,false
2,16620,9000,6000,40000,23000,5380,-1885,true,false
2,15645,9000,6000,40000,24000,5355,0,true,false
2,11125,11000,9000,41000,23000,4875,-110,false,false
2,7290,10000,11000,41000,26000,4710,-970,false,false
2,16280,14000,8000,33000,24000,4720,835,true,false
2,16620,9000,6000,40000,23000,5380,60,true,false
2,15385,14000,8000,33000,25000,4615,-1030,false,false
2,16280,14000,8000,33000,24000,4720,-1000,true,false
2,16280,14000,8000,33000,24000,4720,0,true,false
2,14590,9000,6000,41000,24000,5410,15,false,false
