env,penalty,mode,seed,gen,pct_carriers,pct_lineages
StaticNull,200,PureSA,100,100,0.00,0.00
StaticNull,200,PureSA,100,150,0.00,0.00
StaticNull,200,PureSA,100,200,0.00,0.00
StaticNull,200,PureSA,100,250,0.00,0.00
StaticNull,200,PureSA,100,300,0.00,0.00
StaticNull,200,PureSA,100,350,0.00,0.00
StaticNull,200,PureSA,100,400,0.00,0.00
StaticNull,200,PureSA,100,450,0.00,0.00
StaticNull,200,PureSA,100,500,0.00,0.00
StaticNull,200,PureSA,100,550,0.00,0.00
StaticNull,200,PureSA,100,600,0.00,0.00
StaticNull,200,PureSA,100,650,0.00,0.00
StaticNull,200,PureSA,100,700,0.00,0.00
StaticNull,200,PureSA,100,750,0.00,0.00
StaticNull,200,PureSA,100,800,0.00,0.00
StaticNull,200,PureSA,100,850,0.00,0.00
StaticNull,200,PureSA,100,900,0.00,0.00
StaticNull,200,PureSA,100,950,0.00,0.00
StaticNull,200,PureSA,100,1000,0.00,0.00
StaticNull,200,PureSA,101,0,0.00,0.00
StaticNull,200,PureSA,101,50,0.00,0.00
StaticNull,200,PureSA,101,100,0.00,0.00
StaticNull,200,PureSA,101,150,0.00,0.00
StaticNull,200,PureSA,101,200,0.00,0.00
StaticNull,200,PureSA,101,250,0.00,0.00
StaticNull,200,PureSA,101,300,0.00,0.00
StaticNull,200,PureSA,101,350,0.00,0.00
StaticNull,200,PureSA,101,400,0.00,0.00
StaticNull,200,PureSA,101,450,0.00,0.00
StaticNull,200,PureSA,101,500,0.00,0.00
StaticNull,200,PureSA,101,550,0.00,0.00
StaticNull,200,PureSA,101,600,0.00,0.00
StaticNull,200,PureSA,101,650,0.00,0.00
StaticNull,200,PureSA,101,700,0.00,0.00
StaticNull,200,PureSA,101,750,0.00,0.00
StaticNull,200,PureSA,101,800,0.00,0.00
StaticNull,200,PureSA,101,850,0.00,0.00
StaticNull,200,PureSA,101,900,0.00,0.00
StaticNull,200,PureSA,101,950,0.00,0.00
StaticNull,200,PureSA,101,1000,0.00,0.00
StaticNull,200,PureSA,102,0,0.00,0.00
StaticNull,200,PureSA,102,50,0.00,0.00
StaticNull,200,PureSA,102,100,0.00,0.00
StaticNull,200,PureSA,102,150,0.00,0.00
StaticNull,200,PureSA,102,200,0.00,0.00
StaticNull,200,PureSA,102,250,0.00,0.00
StaticNull,200,PureSA,102,300,0.00,0.00
StaticNull,200,PureSA,102,350,0.00,0.00
StaticNull,200,PureSA,102,400,0.00,0.00
StaticNull,200,PureSA,102,450,0.00,0.00
StaticNull,200,PureSA,102,500,0.00,0.00
StaticNull,200,PureSA,102,550,0.00,0.00
StaticNull,200,PureSA,102,600,0.00,0.00
StaticNull,200,PureSA,102,650,0.00,0.00
StaticNull,200,PureSA,102,700,0.00,0.00
StaticNull,200,PureSA,102,750,0.00,0.00
StaticNull,200,PureSA,102,800,0.00,0.00
StaticNull,200,PureSA,102,850,0.00,0.00
StaticNull,200,PureSA,102,900,0.00,0.00
StaticNull,200,PureSA,102,950,0.00,0.00
StaticNull,200,PureSA,102,1000,0.00,0.00
StaticNull,200,PureSA,103,0,0.00,0.00
StaticNull,200,PureSA,103,50,0.00,0.00
StaticNull,200,PureSA,103,100,0.00,0.00
StaticNull,200,PureSA,103,150,0.00,0.00
StaticNull,200,PureSA,103,200,0.00,0.00
StaticNull,200,PureSA,103,250,0.00,0.00
StaticNull,200,PureSA,103,300,0.00,0.00
StaticNull,200,PureSA,103,350,0.00,0.00
StaticNull,200,PureSA,103,400,0.00,0.00
StaticNull,200,PureSA,103,450,0.00,0.00
StaticNull,200,PureSA,103,500,0.00,0.00
StaticNull,200,PureSA,103,550,0.00,0.00
StaticNull,200,PureSA,103,600,0.00,0.00
StaticNull,200,PureSA,103,650,0.00,0.00
StaticNull,200,PureSA,103,700,0.00,0.00
StaticNull,200,PureSA,103,750,0.00,0.00
StaticNull,200,PureSA,103,800,0.00,0.00
StaticNull,200,PureSA,103,850,0.00,0.00
StaticNull,200,PureSA,103,900,0.00,0.00
StaticNull,200,PureSA,103,950,0.00,0.00
StaticNull,200,PureSA,103,1000,0.00,0.00
StaticNull,200,PureSA,104,0,0.00,0.00
StaticNull,200,PureSA,104,50,0.00,0.00
StaticNull,200,PureSA,104,100,0.00,0.00
StaticNull,200,PureSA,104,150,0.00,0.00
StaticNull,200,PureSA,104,200,0.00,0.00
StaticNull,200,PureSA,104,250,0.00,0.00
StaticNull,200,PureSA,104,300,0.00,0.00
StaticNull,200,PureSA,104,350,0.00,0.00
StaticNull,200,PureSA,104,400,0.00,0.00
StaticNull,200,PureSA,104,450,0.00,0.00
StaticNull,200,PureSA,104,500,0.00,0.00
StaticNull,200,PureSA,104,550,0.00,0.00
StaticNull,200,PureSA,104,600,0.00,0.00
StaticNull,200,PureSA,104,650,0.00,0.00
StaticNull,200,PureSA,104,700,0.00,0.00
StaticNull,200,PureSA,104,750,0.00,0.00
StaticNull,200,PureSA,104,800,0.00,0.00
StaticNull,200,PureSA,104,850,0.00,0.00
StaticNull,200,PureSA,104,900,0.00,0.00
StaticNull,200,PureSA,104,950,0.00,0.00
StaticNull,200,PureSA,104,1000,0.00,0.00
StaticNull,200,PureSA,105,0,0.00,0.00
StaticNull,200,PureSA,105,50,0.00,0.00
StaticNull,200,PureSA,105,100,0.00,0.00
StaticNull,200,PureSA,105,150,0.00,0.00
StaticNull,200,PureSA,105,200,0.00,0.00
StaticNull,200,PureSA,105,250,0.00,0.00
StaticNull,200,PureSA,105,300,0.00,0.00
StaticNull,200,PureSA,105,350,0.00,0.00
StaticNull,200,PureSA,105,400,0.00,0.00
StaticNull,200,PureSA,105,450,0.00,0.00
StaticNull,200,PureSA,105,500,0.00,0.00
StaticNull,200,PureSA,105,550,0.00,0.00
StaticNull,200,PureSA,105,600,0.00,0.00
StaticNull,200,PureSA,105,650,0.00,0.00
StaticNull,200,PureSA,105,700,0.00,0.00
StaticNull,200,PureSA,105,750,0.00,0.00
StaticNull,200,PureSA,105,800,0.00,0.00
StaticNull,200,PureSA,105,850,0.00,0.00
StaticNull,200,PureSA,105,900,0.00,0.00
StaticNull,200,PureSA,105,950,0.00,0.00
StaticNull,200,PureSA,105,1000,0.00,0.00
StaticNull,200,PureSA,106,0,0.00,0.00
StaticNull,200,PureSA,106,50,0.00,0.00
StaticNull,200,PureSA,106,100,0.00,0.00
StaticNull,200,PureSA,106,150,0.00,0.00
StaticNull,200,PureSA,106,200,0.00,0.00
StaticNull,200,PureSA,106,250,0.00,0.00
StaticNull,200,PureSA,106,300,0.00,0.00
StaticNull,200,PureSA,106,350,0.00,0.00
StaticNull,200,PureSA,106,400,0.00,0.00
StaticNull,200,PureSA,106,450,0.00,0.00
StaticNull,200,PureSA,106,500,0.00,0.00
StaticNull,200,PureSA,106,550,0.00,0.00
StaticNull,200,PureSA,106,600,0.00,0.00
StaticNull,200,PureSA,106,650,0.00,0.00
StaticNull,200,PureSA,106,700,0.00,0.00
StaticNull,200,PureSA,106,750,0.00,0.00
StaticNull,200,PureSA,106,800,0.00,0.00
StaticNull,200,PureSA,106,850,0.00,0.00
StaticNull,200,PureSA,106,900,0.00,0.00
StaticNull,200,PureSA,106,950,0.00,0.00
StaticNull,200,PureSA,106,1000,0.00,0.00
StaticNull,200,PureSA,107,0,0.00,0.00
StaticNull,200,PureSA,107,50,0.00,0.00
StaticNull,200,PureSA,107,100,0.00,0.00
StaticNull,200,PureSA,107,150,0.00,0.00
StaticNull,200,PureSA,107,200,0.00,0.00
StaticNull,200,PureSA,107,250,0.00,0.00
StaticNull,200,PureSA,107,300,0.00,0.00
StaticNull,200,PureSA,107,350,0.00,0.00
StaticNull,200,PureSA,107,400,0.00,0.00
StaticNull,200,PureSA,107,450,0.00,0.00
StaticNull,200,PureSA,107,500,0.00,0.00
StaticNull,200,PureSA,107,550,0.00,0.00
StaticNull,200,PureSA,107,600,0.00,0.00
StaticNull,200,PureSA,107,650,0.00,0.00
StaticNull,200,PureSA,107,700,0.00,0.00
StaticNull,200,PureSA,107,750,0.00,0.00
StaticNull,200,PureSA,107,800,0.00,0.00
StaticNull,200,PureSA,107,850,0.00,0.00
StaticNull,200,PureSA,107,900,0.00,0.00
StaticNull,200,PureSA,107,950,0.00,0.00
StaticNull,200,PureSA,107,1000,0.00,0.00
