mode,seed,target,coverage,half_life,recovery,origin
T32,124,Y,2,3,999,None
T32,125,Y,1,5,999,None
T32,126,Z,1,47,999,None
T32,127,X,0,45,999,None
T32,128,Z,1,47,999,None
T32,129,Y,1,7,999,None
T32,130,X,1,5,999,None
T32,131,X,0,35,999,None
T32,132,Y,2,51,999,None
T32,133,Y,2,31,999,None
T32,134,Y,1,5,999,None
T32,135,Y,1,48,999,None
T32,136,X,2,38,999,None
T32,137,X,3,4,999,None
T32,138,Y,2,119,999,None
T32,139,Z,1,9,999,None
T32,140,Z,1,55,999,None
T32,141,X,1,5,999,None
T32,142,X,2,30,999,None
T32,143,Y,2,5,999,None
T32,144,Z,2,53,999,None
T32,145,Z,2,13,999,None
T32,146,Z,2,89,999,None
T32,147,Y,2,6,999,None
T32,148,X,0,6,999,None
T32,149,Y,1,84,999,None
T32,150,Z,2,79,999,None
T32,151,Z,2,65,999,None
T32,152,X,1,31,999,None
T32,153,Y,1,60,999,None
T32,154,Z,2,60,999,None
T32,155,X,1,44,999,None
T32,156,X,1,88,999,None
T32,157,Y,2,5,999,None
T32,158,Z,0,12,999,None
T32,159,Y,2,82,999,None
T32,160,Y,1,124,999,None
T32,161,Y,2,7,999,None
T32,162,Y,2,7,999,None
T32,163,Z,2,71,999,None
T32,164,X,1,21,999,None
T32,165,Y,1,53,999,None
T32,166,Y,1,40,999,None
T32,167,Y,1,7,999,None
T32,168,Z,2,70,999,None
T32,169,Z,1,8,999,None
T32,170,Y,0,21,999,None
T32,171,Z,1,6,999,None
T32,172,X,1,80,999,None
T32,173,Y,2,165,999,None
T32,174,Z,2,8,999,None
T32,175,Z,1,41,999,None
T32,176,X,1,6,999,None
T32,177,Z,1,5,999,None
T32,178,Y,0,75,999,None
T32,179,Y,1,39,999,None
T32,180,Y,1,20,999,None
T32,181,Y,1,31,999,None
T32,182,Z,2,94,999,None
T32,183,X,1,20,999,None
T32,184,Z,0,80,999,None
T32,185,Y,0,6,999,None
T32,186,X,1,62,999,None
T32,187,Z,2,5,999,None
T32,188,Y,2,25,999,None
T32,189,Y,0,83,999,None
T32,190,Y,2,65,999,None
T32,191,Z,2,7,999,None
T32,192,Z,2,5,38,Rediscovered
T32,193,Z,1,59,999,None
T32,194,Z,2,35,999,None
T32,195,X,0,37,999,None
T32,196,Y,3,38,999,None
T32,197,Z,1,46,999,None
T32,198,X,0,5,999,None
T32,199,Z,2,94,999,None
