env,penalty,mode,seed,gen,dist0,dist2,dist5,dist10
StaticNull,200,GA,112,600,0.00,0.00,1.00,68.00
StaticNull,200,GA,112,650,0.00,0.00,9.00,89.00
StaticNull,200,GA,112,700,0.00,0.00,2.00,70.00
StaticNull,200,GA,112,750,0.00,0.00,1.00,69.00
StaticNull,200,GA,112,800,0.00,0.00,1.00,70.00
StaticNull,200,GA,112,850,0.00,0.00,1.00,71.00
StaticNull,200,GA,112,900,0.00,0.00,2.00,70.00
StaticNull,200,GA,112,950,0.00,0.00,1.00,67.00
StaticNull,200,GA,112,1000,0.00,0.00,0.00,81.00
StaticNull,200,GA,113,0,0.00,0.00,2.00,43.00
StaticNull,200,GA,113,50,0.00,0.00,4.00,86.00
StaticNull,200,GA,113,100,0.00,0.00,1.00,85.00
StaticNull,200,GA,113,150,0.00,0.00,2.00,82.00
StaticNull,200,GA,113,200,0.00,0.00,8.00,87.00
StaticNull,200,GA,113,250,0.00,0.00,1.00,69.00
StaticNull,200,GA,113,300,0.00,0.00,3.00,83.00
StaticNull,200,GA,113,350,0.00,0.00,1.00,72.00
StaticNull,200,GA,113,400,0.00,0.00,1.00,78.00
StaticNull,200,GA,113,450,0.00,0.00,1.00,73.00
StaticNull,200,GA,113,500,0.00,0.00,0.00,78.00
StaticNull,200,GA,113,550,0.00,0.00,2.00,84.00
StaticNull,200,GA,113,600,0.00,0.00,1.00,75.00
StaticNull,200,GA,113,650,0.00,0.00,0.00,84.00
StaticNull,200,GA,113,700,0.00,0.00,2.00,73.00
StaticNull,200,GA,113,750,0.00,0.00,1.00,82.00
StaticNull,200,GA,113,800,0.00,0.00,2.00,81.00
StaticNull,200,GA,113,850,0.00,0.00,0.00,91.00
StaticNull,200,GA,113,900,0.00,0.00,8.00,91.00
StaticNull,200,GA,113,950,0.00,0.00,2.00,87.00
StaticNull,200,GA,113,1000,0.00,0.00,2.00,73.00
StaticNull,200,GA,114,0,0.00,0.00,1.00,47.00
StaticNull,200,GA,114,50,0.00,0.00,0.00,12.00
StaticNull,200,GA,114,100,0.00,0.00,0.00,26.00
StaticNull,200,GA,114,150,0.00,0.00,0.00,23.00
StaticNull,200,GA,114,200,0.00,0.00,0.00,24.00
StaticNull,200,GA,114,250,0.00,0.00,0.00,35.00
StaticNull,200,GA,114,300,0.00,0.00,0.00,21.00
