date,ticker,decision_id,cohort,direction,entry_price,ts,oqs_prev,oqs_new,oqs_delta,action_prev,action_new,target_move,stop_move,classification,ret_5m,ret_15m,ret_30m,ret_60m,mfe_after,mae_after,h300_ret
2026-09-15,MARICO_NS,,ASOF,1,799.400024,1789447080,60,66,6,MONITOR,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,-0.0002502023854940244,-0.00012513910936695237,-0.000813139830478702,-0.004065548521846842,0.03365019137523659,-0.010195176076201906,-0.000688
2026-09-15,MPHASIS_NS,,ASOF,1,2376.300049,1789447080,71,65,-6,ACT,ACT,UNCHANGED,UNCHANGED,OQS_DOWN,0.0037032565226572767,0.008879288351077274,0.014434224613463388,0.012666688853714726,0.02217731343404103,-0.03631698321780405,0.006523
2026-09-15,NTPC_NS,,ASOF,1,327.700012,1789447080,45,51,6,MONITOR,MONITOR,UNCHANGED,UNCHANGED,OQS_UP,0.0006102590453501717,0.003051572079378608,0.0004577177235977941,6.317706049469184e-10,0.01098558334190337,-0.0036619223559870213,0.000153
2026-09-15,SBILIFE_NS,,ASOF,1,1675.199951,1789447080,18,22,4,AVOID,AVOID,UNCHANGED,UNCHANGED,OQS_UP,-0.002447454354099701,-0.0005371909015027517,-0.00017903927573452723,-0.00011935948295646499,0.055217289205779674,-0.013252120134523603,-0.002567
2026-09-15,TCS_NS,,ASOF,1,2293.600098,1789447080,10,18,8,AVOID,AVOID,UNCHANGED,UNCHANGED,OQS_UP,0.0004795313589470866,0.004054675595741151,0.0036623219572255667,0.008153099942937442,0.012731055798954326,-0.05685391579021675,-0.003758
2026-09-15,TITAN_NS,,ASOF,1,4921.5,1789447080,79,86,7,ACT,ACT,UNCHANGED,UNCHANGED,OQS_UP,0.0009143553794574825,0.0001015950421619425,-0.000203190084323885,-0.004368586812963527,0.0027430661383724473,-0.015544041450777202,-0.000305
2026-09-15,TORNTPHARM_NS,,ASOF,1,4910.5,1789447080,72,59,-13,ACT,MONITOR,UNCHANGED,UNCHANGED,OQS_DOWN|ACTION_CHANGE,0.0010182262498727218,0.00010182262498727217,0.0,-0.0017309846247836268,0.0018328072497708992,-0.0314631911210671,0.000815
2026-09-15,ULTRACEMCO_NS,,ASOF,1,10824.0,1789447080,72,80,8,ACT,ACT,UNCHANGED,UNCHANGED,OQS_UP,0.00018477457501847746,-0.002771618625277162,-0.003787878787878788,-0.005728011825572801,0.004896526237989652,-0.01607538802660754,-0.00037
2026-09-15,UPL_NS,,ASOF,1,568.599976,1789447080,65,51,-14,ACT,MONITOR,UNCHANGED,UNCHANGED,OQS_DOWN|ACTION_CHANGE,-0.00017582835775562826,0.0002638480589735909,-0.00017582835775562826,-0.0029897144876725595,0.0012311147072028375,-0.03271188319571785,-8.8e-05
2026-09-15,ADANIENT_NS,,ASOF,1,3015.0,1789447140,34,24,-10,AVOID,AVOID,UNCHANGED,UNCHANGED,OQS_DOWN,-0.0013930186308043118,0.0006633499170812604,0.0026533996683250414,-0.0026533996683250414,0.0028855559442371474,-0.03555553936048922,-0.001393
2026-09-15,APOLLOHOSP_NS,,ASOF,1,8826.0,1789447140,65,59,-6,ACT,MONITOR,UNCHANGED,UNCHANGED,OQS_DOWN|ACTION_CHANGE,0.0014162701110355766,0.00011330160888284614,0.0005098572399728076,0.0003399048266485384,0.002492635395422615,-0.017108542941309767,0.001416
2026-09-15,ASIANPAINT_NS,,ASOF,1,2443.899902,1789447140,47,35,-12,MONITOR,AVOID,UNCHANGED,UNCHANGED,OQS_DOWN|ACTION_CHANGE,0.0006956895635776693,0.0007775059962848221,-0.00045004018821516814,-0.0027414996918008433,0.0019232357480776594,-0.01878141652300787,-0.000503
2026-09-15,BAJAJFINSV_NS,,ASOF,1,1885.099976,1789447140,45,39,-6,MONITOR,AVOID,UNCHANGED,UNCHANGED,OQS_DOWN|ACTION_CHANGE,-0.00021220350815227514,0.0004244063573541366,-0.002174938227255046,-0.0027054140708343893,0.0005304756239292055,-0.027903016640853203,-0.000212
2026-09-15,BAJFINANCE_NS,,ASOF,1,1017.900024,1789447140,80,72,-8,ACT,ACT,UNCHANGED,UNCHANGED,OQS_DOWN,0.001571840025813743,0.0003929303306202885,-0.0016701166645898225,-0.005403280731170835,0.009725930439829687,-0.012181966507154763,0.001572
2026-09-15,GODREJPROP_NS,,ASOF,1,1691.5,1789447140,86,79,-7,ACT,ACT,UNCHANGED,UNCHANGED,OQS_DOWN,5.9104691656813476e-05,0.003960952510715342,0.0010049962588678687,-0.0046704253112991425,0.00632571751219332,-0.025953310324600947,5.9e-05
2026-09-15,HAVELLS_NS,,ASOF,1,1105.5,1789447140,45,39,-6,MONITOR,AVOID,UNCHANGED,UNCHANGED,OQS_DOWN|ACTION_CHANGE,0.0004522840343735866,-0.0008141333460538218,-0.002261420171867933,-0.007236544549977386,0.001718701414800995,-0.022071482961612394,0.000452
2026-09-15,HDFCLIFE_NS,,ASOF,1,527.150024,1789447140,22,18,-4,AVOID,AVOID,UNCHANGED,UNCHANGED,OQS_DOWN,-0.0012330910943865012,0.00018965379009442982,-0.004268233867969112,-0.004458002655864966,0.06335950350439275,-0.020961866472498786,-0.001233
2026-09-15,HINDUNILVR_NS,,ASOF,1,1951.0,1789447140,34,28,-6,AVOID,AVOID,UNCHANGED,UNCHANGED,OQS_DOWN,-0.0008200797467644797,0.00046131441007816505,-0.0011276018307919016,-0.0016401594935289594,0.013326499231163505,-0.00661200636292286,-0.00082
2026-09-15,ICICIBANK_NS,,ASOF,1,1356.300049,1789447140,80,72,-8,ACT,ACT,UNCHANGED,UNCHANGED,OQS_DOWN,-0.00014751412433403554,0.0001474238684481943,0.0014745998347487014,-0.002728064056910201,0.004939873743232502,-0.006119625967808208,-0.000148
2026-09-15,INDUSTOWER_NS,,ASOF,1,384.450012,1789447140,51,45,-6,MONITOR,MONITOR,UNCHANGED,UNCHANGED,OQS_DOWN,-0.000130103009375482,-0.0006502790614264961,-0.0014306622092539827,-0.0036416287250142293,0.0020808635063847645,-0.02380029632313099,-0.00013
2026-09-15,LICI_NS,,ASOF,1,398.100006,1789447140,51,45,-6,MONITOR,MONITOR,UNCHANGED,UNCHANGED,OQS_DOWN,-0.0003767741540017902,-0.0018839484681755633,-0.002135156963549525,-0.005526280005923015,0.01934182787469926,-0.028636005076997557,-0.000126
2026-09-15,LUPIN_NS,,ASOF,1,2074.600098,1789447140,80,72,-8,ACT,ACT,UNCHANGED,UNCHANGED,OQS_DOWN,0.0006747816127790962,-1.6569453039618561e-10,0.0032776458221058617,0.0006265324796827957,0.007374820987668782,-0.019570083911178864,0.000675
2026-09-15,M&M_NS,,ASOF,1,3094.199951,1789447140,51,45,-6,MONITOR,MONITOR,UNCHANGED,UNCHANGED,OQS_DOWN,0.00045250684455522586,3.23501485715538e-05,-0.002229947088469544,-0.0020037331452986166,0.010632844411240166,-0.02091007434057065,0.000453
2026-09-15,MARICO_NS,,ASOF,1,799.400024,1789447140,66,60,-6,ACT,MONITOR,UNCHANGED,UNCHANGED,OQS_DOWN|ACTION_CHANGE,-0.0006880765543516301,-0.0003753420128275232,-0.0010633427339392727,-0.0037528139803227356,0.03365019137523659,-0.010195176076201906,-0.000688
2026-09-15,MPHASIS_NS,,ASOF,1,2376.300049,1789447140,65,51,-14,ACT,MONITOR,UNCHANGED,UNCHANGED,OQS_DOWN|ACTION_CHANGE,0.0065227452377690275,0.008290178257703708,0.01409754624304393,0.012792956085098771,0.02217731343404103,-0.03631698321780405,0.006523
2026-09-15,NAUKRI_NS,,ASOF,1,1282.599976,1789447140,41,35,-6,MONITOR,AVOID,UNCHANGED,UNCHANGED,OQS_DOWN|ACTION_CHANGE,-0.0015593329576535635,0.010135661803518957,0.009823776241732154,0.0021051558386471,0.01130516127963621,-0.025962831588166948,-0.001559
2026-09-15,NMDC_NS,,ASOF,1,81.839996,1789447140,35,41,6,AVOID,MONITOR,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,-0.00036654988847078265,-0.00024433414165587873,0.0002444356223033442,-0.002810305484966505,0.0007332053862625672,-0.028470112141373155,-0.000367
2026-09-15,NTPC_NS,,ASOF,1,327.700012,1789447140,51,45,-6,MONITOR,MONITOR,UNCHANGED,UNCHANGED,OQS_DOWN,0.00015254195352298254,0.0025937618609813626,0.0007628934936726057,0.0003050832752753601,0.01098558334190337,-0.0036619223559870213,0.000153
2026-09-15,POLYCAB_NS,,ASOF,1,8173.0,1789447140,57,45,-12,MONITOR,MONITOR,UNCHANGED,UNCHANGED,OQS_DOWN,0.0001223540927444023,0.0007341245564664138,0.00042823932460540805,-0.002080019576654839,0.008993025816713568,-0.012357763367184632,0.000122
2026-09-15,POWERGRID_NS,,ASOF,1,264.899994,1789447140,45,39,-6,MONITOR,AVOID,UNCHANGED,UNCHANGED,OQS_DOWN|ACTION_CHANGE,0.0013212759831168874,0.0016987999762492732,0.0007550475954923298,0.0009437519899845019,0.004907581111652489,-0.007927543429960373,-0.000377
2026-09-15,SBILIFE_NS,,ASOF,1,1675.199951,1789447140,22,18,-4,AVOID,AVOID,UNCHANGED,UNCHANGED,OQS_DOWN,-0.002566813939655825,-0.00011935948295646499,0.00011943255725563503,-0.00029847173039050277,0.055217289205779674,-0.013252120134523603,-0.002567
2026-09-15,SBIN_NS,,ASOF,1,981.900024,1789447140,66,53,-13,ACT,MONITOR,UNCHANGED,UNCHANGED,OQS_DOWN|ACTION_CHANGE,0.0007128542303991935,-0.0008147962058329987,-0.0007129155472642909,-0.0010184332024596532,0.01935023928063624,-0.014156251818158659,0.000713
