ticker,direction,date,entry_price,exit_price,exit_reason,realized_return,decision_id,intraday_return,mfe,mae,time_to_mfe,time_to_mae,target_attained,risk_attained,n_bars_available,status
SBILIFE_NS,LONG,20260908,1723.599976,1724.400024,HORIZON,0.000464,LIVE-005-20260908-0439-SBILIFE_NS,0.006614077846100609,0.007194258870795768,0.0007542636612553029,,,,,361,RECONSTRUCTED_FROM_P4
TRENT_NS,LONG,20260908,2784.500000,2790.199951,HORIZON,0.002047,LIVE-005-20260908-0439-TRENT_NS,0.0026934817741066618,0.006859435322768899,-0.0009696359029897647,,,,,361,RECONSTRUCTED_FROM_P4
VBL_NS,LONG,20260908,404.450012,405.950012,HORIZON,0.003709,LIVE-005-20260908-0439-VBL_NS,0.005810299208829123,0.00853005707831968,0.00012359448994924305,,,,,361,RECONSTRUCTED_FROM_P4
BAJAJ-AUTO_NS,LONG,20260909,11790.000000,11844.000000,HORIZON,0.004580,,,,,,,,,,NO_P4_RECORD
BAJAJFINSV_NS,LONG,20260909,1927.000000,1931.500000,HORIZON,0.002335,,,,,,,,,,NO_P4_RECORD
BAJFINANCE_NS,LONG,20260909,1039.300049,1042.900024,HORIZON,0.003464,,,,,,,,,,NO_P4_RECORD
BANKBARODA_NS,LONG,20260909,234.100006,235.860001,HORIZON,0.007518,,,,,,,,,,NO_P4_RECORD
BHARTIARTL_NS,LONG,20260909,1814.699951,1823.300049,HORIZON,0.004739,,,,,,,,,,NO_P4_RECORD
CANBK_NS,LONG,20260909,124.080002,124.900002,HORIZON,0.006609,,,,,,,,,,NO_P4_RECORD
GODREJPROP_NS,LONG,20260909,1857.099976,1884.699951,HORIZON,0.014862,,,,,,,,,,NO_P4_RECORD
HCLTECH_NS,LONG,20260909,1229.800049,1245.300049,HORIZON,0.012604,,,,,,,,,,NO_P4_RECORD
HDFCBANK_NS,LONG,20260909,687.099976,692.900024,HORIZON,0.008441,,,,,,,,,,NO_P4_RECORD
HDFCLIFE_NS,LONG,20260909,514.000000,516.349976,HORIZON,0.004572,,,,,,,,,,NO_P4_RECORD
INFY_NS,LONG,20260909,1035.000000,1044.000000,HORIZON,0.008696,,,,,,,,,,NO_P4_RECORD
ITC_NS,LONG,20260909,260.799988,261.850006,HORIZON,0.004026,,,,,,,,,,NO_P4_RECORD
LICI_NS,LONG,20260909,407.500000,406.600006,HORIZON,-0.002209,,,,,,,,,,NO_P4_RECORD
LUPIN_NS,LONG,20260909,2100.000000,2097.500000,HORIZON,-0.001190,,,,,,,,,,NO_P4_RECORD
NESTLEIND_NS,LONG,20260909,1393.000000,1391.400024,HORIZON,-0.001149,,,,,,,,,,NO_P4_RECORD
ONGC_NS,LONG,20260909,234.020004,236.789993,HORIZON,0.011837,,,,,,,,,,NO_P4_RECORD
PAGEIND_NS,LONG,20260909,35395.000000,35800.000000,HORIZON,0.011442,,,,,,,,,,NO_P4_RECORD
RECLTD_NS,LONG,20260909,314.500000,315.399994,HORIZON,0.002862,,,,,,,,,,NO_P4_RECORD
RELIANCE_NS,LONG,20260909,1279.000000,1285.000000,HORIZON,0.004691,,,,,,,,,,NO_P4_RECORD
SHREECEM_NS,LONG,20260909,22950.000000,23155.000000,HORIZON,0.008932,,,,,,,,,,NO_P4_RECORD
TATACONSUM_NS,LONG,20260909,1001.000000,1004.700012,HORIZON,0.003696,,,,,,,,,,NO_P4_RECORD
ULTRACEMCO_NS,LONG,20260909,10900.000000,10949.000000,HORIZON,0.004495,,,,,,,,,,NO_P4_RECORD
UNITDSPR_NS,LONG,20260909,1405.199951,1416.099976,HORIZON,0.007757,,,,,,,,,,NO_P4_RECORD
WIPRO_NS,LONG,20260909,167.000000,168.149994,HORIZON,0.006886,,,,,,,,,,NO_P4_RECORD
