ticker,date,entry_price,b_realized,b_mfe,b_mae,b_duration,b_round_trip,b_exit_ts,b_exit_reason,m_realized,m_mfe,m_mae,m_duration,m_round_trip,m_exit_ts,m_exit_reason,triggered,trigger_bar,trigger_ts,trigger_return,imv,profit_capture
APOLLOHOSP_NS,20260915,8826.0,-0.0019272603670972375,0.01144346249716746,-0.0019827781554498073,157,1,1789453260,STOP,0.0004999999999998467,0.01144346249716746,-0.00022660321776569228,46,0,1789446600,E4-PP-050,1,0.0,1789443900.0,0.01127351008384319,0.002427260367097084,0.04435175879395625
ASIANPAINT_NS,20260915,2443.899902,-0.0005032538358029846,0.007651784609077614,-0.0009410386824223175,46,1,1789446600,STOP,0.0004999999999998834,0.007651784609077614,-0.0002864073228008628,44,0,1789446480,E4-PP-050,1,0.0,1789443900.0,0.005114775909406248,0.0010032538358028678,0.09775599339168824
BAJAJFINSV_NS,20260915,1885.099976,-0.010609517091237006,0.022386119232609355,-0.01066255172452454,300,1,1789461900,H300,0.0004999999999999377,0.022386119232609355,0.00047744099064167105,38,0,1789446120,E4-PP-050,1,0.0,1789443900.0,0.022386119232609355,0.011109517091236944,0.022335269226637502
BAJFINANCE_NS,20260915,1017.900024,-0.000952965887738382,0.01945174054920247,-0.001375404231250937,75,1,1789448340,STOP,0.0004999999999999019,0.01945174054920247,0.0004912077829585253,43,0,1789446420,E4-PP-050,1,0.0,1789443900.0,0.01945174054920247,0.001452965887738284,0.025704640607105058
BANDHANBNK_NS,20260915,176.320007,-0.0085072988909308,0.015199596719616714,-0.008677482152477406,18,1,1789444920,STOP,0.000499999999999882,0.015199596719616714,-0.0005671833900101815,13,0,1789444620,E4-PP-050,1,0.0,1789443900.0,0.011456381906170302,0.009007298890930682,0.04364379645292609
BANKBARODA_NS,20260915,235.449997,-0.008919052551461155,0.012656596788069841,-0.009216386699308904,300,1,1789461900,H300,0.0004999999999999771,0.012656596788069841,0.0003822309929051148,35,0,1789445940,E4-PP-050,1,0.0,1789443900.0,0.012656596788069841,0.009419052551461133,0.03950509037874061
BHARTIARTL_NS,20260915,1825.900024,-0.0013144334128121083,0.008872310297936373,-0.0013691875530297546,300,1,1789461900,H300,0.0003833460631672951,0.008872310297936373,0.00016426264742464873,50,0,1789446840,E4-PP-050,1,0.0,1789443900.0,0.008872310297936373,0.0016977794759794034,0.0432070171459691
CANBK_NS,20260915,123.300003,-0.007704821595818696,0.009489036433382092,-0.0077859419201261396,300,1,1789461900,H300,0.0004999999999999882,0.009489036433382092,-0.0028386540408909503,38,0,1789446120,E4-PP-050,1,3.0,1789444080.0,0.005352766167188596,0.008204821595818684,0.09340964734549584
EICHERMOT_NS,20260915,7486.5,-0.0045214719829026065,0.009951245575368998,-0.004741868696987912,102,1,1789449960,STOP,0.0004999999999999378,0.009951245575368998,-0.0005342950644493422,42,0,1789446360,E4-PP-050,1,0.0,1789443900.0,0.008815868563414146,0.0050214719829025445,0.05671590909090203
GODREJCP_NS,20260915,868.049988,-0.0016819169635193326,-0.0012095939341225876,-0.004780788714137376,1,0,1789443900,STOP,-0.0016819169635193326,-0.0012095939341225876,-0.004780788714137376,1,0,1789443900,STOP,0,,,,0.0,
GODREJPROP_NS,20260915,1691.5,-0.00975465563109666,0.03819094034048921,-0.014484185634052616,300,1,1789461900,H300,0.000499999999999972,0.03819094034048921,0.0,49,0,1789446780,E4-PP-050,1,0.0,1789443900.0,0.03819094034048921,0.010254655631096633,0.0130921102110147
