cohort_label,as_of_cohort,evidence_row_id,as_of,ticker,direction,action,evidence_class,target_rate,sample_size,degradation_level,adaptive_rr,adaptive_horizon_sessions,reference_price,adaptive_target,adaptive_risk,exit_reason,sessions_to_outcome,target_reached,risk_reached,horizon_reached,actual_mfe,actual_mae,realized_return,eligible_for_primary_comparison
T5,2026-04-24T03:45:00Z,TIME006-20260424T034500Z-gen20260820T105049017765Z-UNITDSPR_NS,2026-04-24T03:45:00Z,UNITDSPR.NS,LONG,NoTrade,Insufficient,0.000000,0,Insufficient,,,1391.9000,,,NO_TRADE,4,false,false,false,0.016165,-0.050219,-0.050000,false
T5,2026-04-24T03:45:00Z,TIME006-20260424T034500Z-gen20260820T105049017765Z-UPL_NS,2026-04-24T03:45:00Z,UPL.NS,LONG,Watch,Mixed,0.356164,73,Exact,1.071022,4.0,631.4000,654.4396,609.8882,HORIZON,4,false,false,true,0.032468,-0.002534,0.016550,true
T5,2026-04-24T03:45:00Z,TIME006-20260424T034500Z-gen20260820T105049017765Z-VBL_NS,2026-04-24T03:45:00Z,VBL.NS,LONG,NoTrade,Unfavourable,0.292683,41,Exact,1.701569,4.0,490.4500,531.2498,466.4722,NO_TRADE,3,false,false,false,0.090223,-0.021613,0.083189,false
T5,2026-04-24T03:45:00Z,TIME006-20260424T034500Z-gen20260820T105049017765Z-VEDL_NS,2026-04-24T03:45:00Z,VEDL.NS,SHORT,NoTrade,Unfavourable,0.272727,143,StateOnly,1.143091,3.0,720.9500,679.6101,757.1150,NO_TRADE,2,false,false,false,0.000555,-0.051321,-0.050163,false
T5,2026-04-24T03:45:00Z,TIME006-20260424T034500Z-gen20260820T105049017765Z-WIPRO_NS,2026-04-24T03:45:00Z,WIPRO.NS,LONG,Buy,Favourable,0.437500,64,Exact,1.633787,4.0,199.3600,206.9403,194.7203,HORIZON,4,false,false,true,0.031701,0.000000,0.006471,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-ADANIENT_NS,2026-03-23T03:45:00Z,ADANIENT.NS,LONG,NoTrade,Unfavourable,0.211009,109,Exact,1.170659,3.0,1833.0000,1928.5879,1751.3469,NO_TRADE,3,false,false,false,0.042553,-0.010529,-0.005456,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-ADANIGREEN_NS,2026-03-23T03:45:00Z,ADANIGREEN.NS,LONG,NoTrade,Unfavourable,0.291139,79,Exact,1.013226,4.0,816.4500,869.7682,763.8279,NO_TRADE,4,false,false,false,0.064058,-0.018433,-0.011697,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-ADANIPORTS_NS,2026-03-23T03:45:00Z,ADANIPORTS.NS,LONG,Watch,Mixed,0.300813,123,Exact,0.777104,3.0,1303.6000,1351.2094,1242.3347,TARGET,1,true,false,false,0.044032,0.000000,0.036522,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-AMBUJACEM_NS,2026-03-23T03:45:00Z,AMBUJACEM.NS,LONG,Watch,Mixed,0.323529,102,Exact,0.955132,3.0,395.3500,411.6772,378.2558,TARGET,1,true,false,false,0.045909,-0.000632,0.041298,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-APOLLOHOSP_NS,2026-03-23T03:45:00Z,APOLLOHOSP.NS,SHORT,NoTrade,Unfavourable,0.263158,76,Exact,1.017416,3.5,7145.0000,6890.1803,7395.4578,NO_TRADE,1,false,false,false,0.000000,-0.044647,-0.035054,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-ASIANPAINT_NS,2026-03-23T03:45:00Z,ASIANPAINT.NS,LONG,NoTrade,Unfavourable,0.296774,155,Exact,1.022728,3.0,2121.3000,2189.3267,2054.7851,NO_TRADE,1,false,false,false,0.048649,0.000000,0.032068,false
