timestamp,volatility_1m_std_24h,upside_excursion_24h,downside_excursion_24h,trend_dir,past_volatility_24h,past_trend_dir,delta_volatility,delta_upside,delta_downside,reversal_60m,vol_expansion_60m,excursion_exceeded_60m,reversal_120m,vol_expansion_120m,excursion_exceeded_120m,reversal_300m,vol_expansion_300m,excursion_exceeded_300m
1784463180000,0.00023441968129964607,0.012929152764351866,-0.0027284916897938817,1,0.00022254089449425364,1,1.1878786805392429e-05,-0.002175404930855395,-0.0009656943388336211,1,1,0,0,1,0,0,1,0
1784463240000,0.00023443905136671893,0.012793983028863939,-0.0028615720001196896,1,0.0002225408909173212,1,1.1898160449397733e-05,-0.002310574666343322,-0.001098774649159429,0,1,0,0,1,0,0,1,0
1784463300000,0.0002347808114678417,0.012793825141391041,-0.0028617274470014486,1,0.00022254123393100769,1,1.223957753683402e-05,-0.0023107325538162197,-0.001098930096041188,1,1,0,0,1,0,0,1,0
1784463360000,0.0002341230959020102,0.013486477096997223,-0.0021797823587233053,1,0.00022254122666853906,1,1.1581869233471127e-05,-0.0016182392069589487,-0.00041714098100996606,1,1,0,0,1,0,0,1,0
1784463420000,0.00023415152181620354,0.013561107435316603,-0.0021063056403779466,1,0.0002225412339293837,1,1.161028788681983e-05,-0.0015434502598906576,-0.00034350828941768596,1,1,0,0,1,0,0,1,0
1784463480000,0.00023412623305494424,0.013366806893744016,-0.002297602725303156,1,0.00022256007235855056,1,1.1566160696393682e-05,-0.0017377508014632444,-0.0005348053743428952,1,1,0,0,1,0,0,1,0
1784463540000,0.00023421388822027043,0.0131915418552218,-0.002470158553955231,1,0.0002225626602071598,1,1.1651228013110645e-05,-0.0019130158399854602,-0.0007073612029949705,1,1,0,0,1,0,0,1,0
1784463600000,0.00023456079144523693,0.013191383843771323,-0.0024703141228981504,1,0.00022250793634569614,1,1.2052855099540789e-05,-0.0016680239824896064,-0.0004664404044330533,1,1,0,0,1,0,0,1,0
1784463660000,0.00023397278073493811,0.013938538396529622,-0.0017347089270790398,1,0.00022250070865585542,1,1.1472072079082694e-05,-0.0008313066840258728,0.00035723932918298586,1,1,0,0,1,0,0,1,0
1784463720000,0.0002341658101579899,0.01397256211761768,-0.0017012111374703459,1,0.00022251158972069537,1,1.1654220437294524e-05,-0.0007364210219126636,0.0004505877551583225,1,1,0,0,1,0,0,1,0
1784463780000,0.00023432567768028926,0.013814489843402212,-0.0018568399639274306,1,0.00022251158972069537,1,1.1814087959593892e-05,-0.0008944932961281321,0.00029495892870123777,1,1,0,0,1,0,0,1,0
1784463840000,0.00023428404443533927,0.013371706967978033,-0.002292778395379534,1,0.00022251520153504652,1,1.1768842900292749e-05,-0.0014185855592285003,-0.00022093782338659766,1,1,0,0,1,0,0,1,0
