ticker,total,complete,long,short,no_trade,long_complete,short_complete,bull_pos,bear_pos,bear_neg_long,absent_long,min_long_bucket,bull_neg,absent_short,min_short_bucket,target_rate,short_target_rate,median_mfe5,median_mfe10,bull_pos_rate,bear_pos_rate,bear_neg_long_rate,bull_neg_rate
HEROMOTOCO.NS,1218,1209,1063,155,0,1054,155,496,146,383,21,146,155,0,155,0.3187855787476281,0.2709677419354839,2.492157399401699,3.8177567923233546,0.35080645161290325,0.3082191780821918,0.2924281984334204,0.2709677419354839
HINDALCO.NS,1219,1210,1029,190,0,1020,190,564,154,273,27,154,190,0,190,0.3656862745098039,0.2631578947368421,3.0796887192637863,4.705845274623396,0.36524822695035464,0.487012987012987,0.2893772893772894,0.2631578947368421
HINDUNILVR.NS,1219,1210,1041,178,0,1032,178,374,190,439,9,190,178,0,178,0.2548449612403101,0.2808988764044944,1.494634894213804,2.2221168544066163,0.24866310160427807,0.23684210526315788,0.2824601366742597,0.2808988764044944
ICICIBANK.NS,1219,1210,996,223,0,989,221,507,170,283,20,170,221,0,221,0.30030333670374115,0.19004524886877827,1.758563352292019,2.4336212917641338,0.21301775147928995,0.34705882352941175,0.3992932862190813,0.19004524886877827
ICICIPRULI.NS,1217,1208,1069,148,0,1065,143,356,189,491,10,189,143,0,143,0.28450704225352114,0.16783216783216784,2.48743710476814,3.6145828602364705,0.28370786516853935,0.4126984126984127,0.24439918533604887,0.16783216783216784
IDEA.NS,1218,1209,1058,160,0,1049,160,400,170,450,19,170,160,0,160,0.2888465204957102,0.25,4.187816229866489,6.785722314095375,0.3875,0.3176470588235294,0.20666666666666667,0.25
IDFCFIRSTB.NS,1218,1209,1077,141,0,1068,141,438,170,431,28,170,141,0,141,0.27247191011235955,0.2765957446808511,2.526176171913373,3.9049784192927732,0.3150684931506849,0.27058823529411763,0.21577726218097448,0.2765957446808511
IGL.NS,1218,1209,992,226,0,983,226,378,211,365,7,211,226,0,226,0.23296032553407936,0.1504424778761062,2.601904004513401,3.666127149863765,0.16666666666666666,0.26540284360189575,0.29863013698630136,0.1504424778761062
INDHOTEL.NS,1218,1209,999,219,0,997,212,544,162,262,29,162,212,0,212,0.32898696088264795,0.2358490566037736,2.7811383241335044,4.255648915505651,0.3382352941176471,0.3148148148148148,0.29389312977099236,0.2358490566037736
INDUSINDBK.NS,1218,1209,1024,194,0,1016,193,485,153,349,29,153,193,0,193,0.2637795275590551,0.27461139896373055,2.560941527307728,4.014132867000347,0.23917525773195877,0.35947712418300654,0.25501432664756446,0.27461139896373055
INDUSTOWER.NS,1217,1208,1038,179,0,1029,179,467,186,347,25,186,179,0,179,0.25267249757045673,0.22346368715083798,3.022041446755422,4.2084136471058216,0.30620985010706636,0.15591397849462366,0.23919308357348704,0.22346368715083798
INFY.NS,1219,1210,1054,165,0,1045,165,451,175,390,10,175,165,0,165,0.30526315789473685,0.4,2.1869288630577532,3.320634842054087,0.3370288248337029,0.26285714285714284,0.2717948717948718,0.4
IOC.NS,1218,1209,1027,191,0,1021,188,466,176,350,29,176,188,0,188,0.29676787463271304,0.2712765957446808,2.4340016029529354,3.76328299619587,0.3240343347639485,0.2840909090909091,0.24,0.2712765957446808
IRCTC.NS,1218,1209,1072,146,0,1063,146,276,204,554,29,204,146,0,146,0.25493885230479774,0.1780821917808219,2.306368330464716,3.157404554185433,0.26811594202898553,0.21568627450980393,0.23826714801444043,0.1780821917808219
ITC.NS,1219,1210,1077,142,0,1068,142,472,162,405,26,162,142,0,142,0.28370786516853935,0.16901408450704225,1.75961363963825,2.533788518858022,0.3156779661016949,0.2345679012345679,0.25925925925925924,0.16901408450704225
JINDALSTEL.NS,1217,1208,1003,214,0,994,214,571,139,255,21,139,214,0,214,0.3158953722334004,0.3364485981308411,3.145632853725063,4.811562414143324,0.2469352014010508,0.5035971223021583,0.33725490196078434,0.3364485981308411
JSWSTEEL.NS,1219,1210,1043,176,0,1034,176,511,202,292,7,202,176,0,176,0.29593810444874274,0.2727272727272727,2.502024401665948,3.63882304022029,0.24070450097847357,0.3415841584158416,0.3595890410958904,0.2727272727272727
JUBLFOOD.NS,1218,1209,1088,130,0,1079,130,332,201,517,16,201,130,0,130,0.2789620018535681,0.26153846153846155,2.933249186466758,4.048898585068172,0.3072289156626506,0.2537313432835821,0.2727272727272727,0.26153846153846155
KOTAKBANK.NS,1219,1210,1042,177,0,1033,177,378,239,387,29,239,177,0,177,0.28654404646660214,0.192090395480226,1.964147092724071,2.912672746209484,0.2698412698412698,0.28870292887029286,0.28940568475452194,0.192090395480226
LICI.NS,1035,1026,885,150,0,881,145,361,129,362,10,129,145,0,145,0.30419977298524403,0.3103448275862069,2.2371193181809343,3.2121498258043597,0.3739612188365651,0.3178294573643411,0.23204419889502761,0.3103448275862069
