ticker,total,complete,long,short,no_trade,long_complete,short_complete,bull_pos,bear_pos,bear_neg_long,absent_long,min_long_bucket,bull_neg,absent_short,min_short_bucket,target_rate,short_target_rate,median_mfe5,median_mfe10,bull_pos_rate,bear_pos_rate,bear_neg_long_rate,bull_neg_rate
LT.NS,1219,1210,969,250,0,960,250,554,142,235,29,142,250,0,250,0.3875,0.228,2.290257556386857,3.6217368472850557,0.3483754512635379,0.36619718309859156,0.46808510638297873,0.228
LUPIN.NS,1218,1209,1042,176,0,1041,168,584,151,277,5,151,168,0,168,0.31892411143131605,0.23809523809523808,2.594848616719304,3.820210539388242,0.3578767123287671,0.32450331125827814,0.2490974729241877,0.23809523809523808
M&M.NS,1219,1210,1018,201,0,1009,201,567,174,239,22,174,201,0,201,0.3121902874132805,0.18407960199004975,2.570614391183045,4.176300968718696,0.25044091710758376,0.3103448275862069,0.4393305439330544,0.18407960199004975
MAHABANK.NS,1217,1208,1016,201,0,1007,201,523,147,308,28,147,201,0,201,0.36742800397219466,0.20398009950248755,3.921570094078189,6.309143709623203,0.367112810707457,0.32653061224489793,0.36038961038961037,0.20398009950248755
MARICO.NS,1218,1209,980,238,0,971,238,485,158,299,23,158,238,0,238,0.25952626158599384,0.14285714285714285,2.0017406440382945,2.902902902902903,0.18969072164948453,0.34177215189873417,0.31438127090301005,0.14285714285714285
MARUTI.NS,1219,1210,978,241,0,969,241,508,175,257,26,175,241,0,241,0.31475748194014447,0.2074688796680498,2.066708946683592,3.3223841332971826,0.2637795275590551,0.37142857142857144,0.3657587548638132,0.2074688796680498
MPHASIS.NS,1217,1208,1020,197,0,1011,197,381,210,391,26,210,197,0,197,0.27794263105835804,0.2131979695431472,2.9326415622701663,4.37691477124244,0.24146981627296588,0.2714285714285714,0.3145780051150895,0.2131979695431472
MRF.NS,1216,1207,1051,165,0,1046,161,471,177,369,19,177,161,0,161,0.3049713193116635,0.2484472049689441,1.884839159987102,2.9320382977478543,0.2951167728237792,0.3163841807909605,0.3089430894308943,0.2484472049689441
MUTHOOTFIN.NS,1218,1209,1048,170,0,1039,170,522,145,343,18,145,170,0,170,0.2925890279114533,0.1411764705882353,2.586479875996938,4.061401829557269,0.3045977011494253,0.32413793103448274,0.2653061224489796,0.1411764705882353
NAUKRI.NS,1217,1208,1074,143,0,1065,143,440,175,421,20,175,143,0,143,0.2563380281690141,0.2867132867132867,3.0602000577935713,4.5826241080499575,0.2818181818181818,0.21142857142857144,0.23515439429928742,0.2867132867132867
