source_type,s1_edge_preservation,s1_signature_overlap,s2_dist,returned_to_same_region,retained_elite,s2_region
Random,0.5556,0.6000,797.4513,true,true,10264966111433119558
Random,0.5556,0.4000,812.7828,false,false,11934982111721237959
Random,0.5833,0.6000,862.6427,false,false,8233699893531902227
Random,0.6111,0.6000,820.4296,false,false,3115351698897562438
Random,0.5556,0.2000,872.8475,false,false,3471172163392729463
Random,0.5833,1.0000,797.4513,true,true,10264966111433119558
Random,0.5000,0.4000,817.5966,false,false,7618602225487190826
Random,0.5278,0.6000,817.9923,false,false,16150261068118086330
Random,0.5000,0.6000,945.9042,false,false,911686503051759353
Random,0.5000,0.2000,827.3525,false,false,6942061030029042200
Random,0.6944,1.0000,797.4513,true,true,10264966111433119558
Random,0.5000,0.6000,859.4601,false,false,8838079650647985333
Random,0.5278,0.6000,841.4203,false,false,8560349114246935273
Random,0.5556,0.8000,818.4128,false,false,16150261068118086330
Random,0.5278,0.8000,1000.8947,false,false,8528506457497190023
Random,0.5000,0.4000,899.3255,false,false,538044098010919213
Random,0.6111,0.8000,868.8020,false,false,16810763283796183589
Random,0.5000,0.4000,859.7836,false,false,3630536581368281969
Random,0.5000,1.0000,865.0124,false,false,6418822734799115743
Random,0.5556,1.0000,821.7963,true,false,10264966111433119558
Random,0.5278,0.4000,797.8718,true,true,10264966111433119558
Random,0.5000,0.2000,864.7980,false,false,1114997962268740444
Random,0.5556,0.4000,835.4307,false,false,3444980119119542469
Random,0.5278,0.8000,859.3376,false,false,16322409810552740593
Random,0.6111,1.0000,797.4513,true,true,10264966111433119558
Random,0.5000,0.4000,881.3332,false,false,15511905354046000737
Random,0.5278,0.4000,860.5335,false,false,12771146329575460475
Random,0.5556,0.4000,848.4150,false,false,4009591388271689153
Random,0.6944,0.6000,797.4513,true,true,10264966111433119558
Random,0.5278,0.4000,870.7842,false,false,9245256633134479979
Random,0.5000,0.2000,895.3123,false,false,5503184937394126039
Random,0.5278,0.2000,951.7999,false,false,3047823361179872179
Random,0.5000,0.2000,929.4975,false,false,4830121255767021338
Random,0.7500,0.8000,847.7754,false,false,3991721610991196159
Random,0.5278,0.8000,797.8718,true,true,10264966111433119558
Random,0.6111,0.2000,851.4918,false,false,5513593411582359213
Random,0.5000,0.2000,906.4265,false,false,9407684476444454519
Random,0.5000,0.6000,870.0506,false,false,4514741148988509228
Random,0.5833,0.4000,810.5735,false,false,6307814058645704904
Random,0.5278,0.2000,875.6450,false,false,2497496979981172746
Random,0.5833,0.6000,810.5735,false,false,6307814058645704904
Random,0.5556,0.4000,797.8718,true,true,10264966111433119558
Random,0.5000,0.4000,883.7615,false,false,18103384171812658737
Random,0.6944,0.6000,881.9368,false,false,17443859867018206782
Random,0.5833,0.6000,797.8718,true,true,10264966111433119558
Random,0.6667,0.8000,797.4513,true,true,10264966111433119558
Random,0.5000,0.2000,879.7718,false,false,6746945371898552292
Random,0.5833,0.4000,817.1960,false,false,3331220801269000902
Random,0.5833,0.8000,921.2248,false,false,2508402723583347680
Random,0.6389,0.6000,797.4513,true,true,10264966111433119558
Random,0.5000,0.6000,821.4331,false,false,10067872278041119297
Random,0.5833,0.6000,843.0420,false,false,1360844289184852892
Random,0.5278,0.4000,823.7503,false,false,4975891338178397411
Random,0.5278,0.4000,941.2180,false,false,4239666581262623274
Random,0.6667,1.0000,797.4513,true,true,10264966111433119558
Random,0.5000,0.6000,816.6658,false,false,3030673687312833173
Random,0.6111,0.8000,827.3525,false,false,6942061030029042200
Random,0.5000,0.6000,909.2067,false,false,1034210955509218916
Random,0.6667,1.0000,826.0486,false,false,9753051505955958754
Random,0.6667,1.0000,866.2163,false,false,1491789103062286966
Random,0.5833,0.6000,850.5016,false,false,16993283815339017015
Random,0.5000,0.6000,889.0469,false,false,1518805884624964433
Random,0.5000,0.2000,803.6943,false,true,15328930014682100007
Random,0.5278,0.6000,846.8109,false,false,847697685391841675
Random,0.5833,0.8000,830.0429,false,false,501179778604118284
Random,0.5833,0.6000,797.4513,true,true,10264966111433119558
Random,0.5278,0.4000,902.4998,false,false,17467442388172168178
Random,0.5278,0.6000,837.3408,false,false,9960454277854095025
Random,0.5278,0.4000,856.6204,false,false,9399592489413181516
Random,0.5556,0.8000,950.5010,false,false,13092649249904796845
Random,0.6111,0.8000,802.6007,false,true,1683420027325650615
Random,0.5000,0.4000,854.6772,false,false,14777616632246658817
Random,0.5833,0.4000,868.0141,false,false,14756809830780848072
Random,0.5000,0.4000,845.6964,false,false,7024673979641177064
Random,0.5000,0.6000,810.6053,true,false,10264966111433119558
Random,0.5000,0.4000,836.0532,false,false,6516518935557788170
Random,0.6944,0.6000,864.5801,false,false,15239448584998475657
Random,0.5556,0.2000,862.6841,false,false,16810278388789628992
Random,0.5278,0.0000,837.2387,false,false,7373778606146978034
Random,0.5000,0.4000,862.1667,false,false,14291597035021850085
