source_type,s1_edge_preservation,backbone_broken,placebo_broken,s2_dist,target_basin_hash,elite_reconstruction
BackbonePreserver,0.7500,0,7,803.1277,4975891338178397411,1
BackbonePreserver,0.7222,0,6,854.1142,5459299833285040038,0
BackbonePreserver,0.6944,0,8,846.4237,10063617608946825115,0
BackbonePreserver,0.7500,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,4,815.1484,11824326250485796480,0
BackbonePreserver,0.7222,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.6944,0,7,901.6402,12133667554274074237,0
BackbonePreserver,0.7500,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,5,823.4085,9982274638534093346,0
BackbonePreserver,0.7222,0,7,819.6692,5976359785007467716,0
BackbonePreserver,0.7500,0,7,857.9613,17715981148166012917,0
BackbonePreserver,0.7500,0,5,854.0470,17157525900557493306,0
BackbonePreserver,0.6944,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.6667,0,8,830.7646,571758398216659801,0
BackbonePreserver,0.7222,0,5,887.3592,17481770110122700822,0
BackbonePreserver,0.7500,0,6,811.3003,4711019678756631762,0
BackbonePreserver,0.6667,0,8,797.4513,10264966111433119558,1
BackbonePreserver,0.6944,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,7,821.7963,10264966111433119558,0
BackbonePreserver,0.7500,0,6,858.9745,15428664137859285929,0
BackbonePreserver,0.7222,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,4,824.5469,2344477410551168557,0
BackbonePreserver,0.6944,0,8,820.4407,6251334824792168828,0
BackbonePreserver,0.7222,0,6,828.7001,10121627615558797951,0
BackbonePreserver,0.7500,0,4,820.1789,11824326250485796480,0
BackbonePreserver,0.6944,0,6,854.6170,2055257113323394818,0
BackbonePreserver,0.7500,0,5,832.4846,14869507963712947089,0
BackbonePreserver,0.7500,0,5,828.3204,1941884731723026855,0
BackbonePreserver,0.7500,0,4,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,6,854.7872,16759967664892776603,0
BackbonePreserver,0.7500,0,7,797.8718,10264966111433119558,1
BackbonePreserver,0.7500,0,6,854.7872,16759967664892776603,0
BackbonePreserver,0.7222,0,8,826.6984,167170242380040613,0
BackbonePreserver,0.7500,0,6,842.9997,956293968073659663,0
BackbonePreserver,0.7500,0,6,801.8739,11824326250485796480,1
BackbonePreserver,0.7500,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.6944,0,7,841.6147,2577811159365091899,0
BackbonePreserver,0.6389,0,8,891.8734,5899886328508149433,0
BackbonePreserver,0.7222,0,7,812.2031,10264966111433119558,0
