ID,Path,Type,Category,Owner,Lifecycle,Confidence,Evidence
ART-0112,.venv_test/lib/python3.14/site-packages/packaging/errors.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0113,.venv_test/lib/python3.14/site-packages/packaging/_manylinux.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0114,.venv_test/lib/python3.14/site-packages/packaging/_tokenizer.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0115,.venv_test/lib/python3.14/site-packages/packaging/specifiers.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0116,.venv_test/lib/python3.14/site-packages/packaging/_elffile.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0117,.venv_test/lib/python3.14/site-packages/packaging/licenses/__init__.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0118,.venv_test/lib/python3.14/site-packages/packaging/licenses/_spdx.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0119,.venv_test/lib/python3.14/site-packages/h11/_readers.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0120,.venv_test/lib/python3.14/site-packages/h11/_version.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0121,.venv_test/lib/python3.14/site-packages/h11/_receivebuffer.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0122,.venv_test/lib/python3.14/site-packages/h11/_writers.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0123,.venv_test/lib/python3.14/site-packages/h11/__init__.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0124,.venv_test/lib/python3.14/site-packages/h11/_abnf.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0125,.venv_test/lib/python3.14/site-packages/h11/_state.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0126,.venv_test/lib/python3.14/site-packages/h11/_util.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0127,.venv_test/lib/python3.14/site-packages/h11/_events.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0128,.venv_test/lib/python3.14/site-packages/h11/_headers.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0129,.venv_test/lib/python3.14/site-packages/h11/_connection.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 6 files
ART-0130,.venv_test/lib/python3.14/site-packages/annotated_types/__init__.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0131,.venv_test/lib/python3.14/site-packages/annotated_types/test_cases.py,Executable,Experiment,Unknown,Active,High,Filename matched Experiment; Invoked by 2 files
ART-0132,.venv_test/lib/python3.14/site-packages/pygments/modeline.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0133,.venv_test/lib/python3.14/site-packages/pygments/console.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0134,.venv_test/lib/python3.14/site-packages/pygments/scanner.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0135,.venv_test/lib/python3.14/site-packages/pygments/formatter.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0136,.venv_test/lib/python3.14/site-packages/pygments/token.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
