evidence_row_id,as_of,ticker,direction,action,evidence_class,target_rate,sample_size,degradation_level,adaptive_rr,adaptive_horizon_sessions,reference_price,adaptive_target,adaptive_risk,exit_reason,sessions_to_outcome,target_reached,risk_reached,horizon_reached,actual_mfe,actual_mae,realized_return,eligible_for_primary_comparison
TIME006-20260814T101500Z-gen20260820T072246895413Z-ICICIPRULI_NS,2026-08-14T10:15:00Z,ICICIPRULI.NS,SHORT,NoTrade,Unfavourable,0.210526,114,StateOnly,1.279043,4.0,509.1500,484.3886,528.5093,NO_TRADE,4,false,false,false,0.027595,-0.004419,0.026220,false
TIME006-20260814T101500Z-gen20260820T072246895413Z-IDEA_NS,2026-08-14T10:15:00Z,IDEA.NS,LONG,Watch,Mixed,0.310345,58,Exact,1.143658,4.0,14.1100,14.9965,13.3349,HORIZON,4,false,false,true,0.014174,-0.043232,-0.008505,true
TIME006-20260814T101500Z-gen20260820T072246895413Z-IDFCFIRSTB_NS,2026-08-14T10:15:00Z,IDFCFIRSTB.NS,SHORT,NoTrade,Unfavourable,0.293233,133,StateOnly,1.046915,3.0,85.6900,82.0074,89.2076,NO_TRADE,3,false,false,false,0.013771,0.000000,0.010853,false
TIME006-20260814T101500Z-gen20260820T072246895413Z-IGL_NS,2026-08-14T10:15:00Z,IGL.NS,LONG,Watch,Mixed,0.371681,113,Exact,0.931534,4.0,151.7000,157.3658,145.6178,TARGET,4,true,false,false,0.039420,-0.026697,0.037349,true
TIME006-20260814T101500Z-gen20260820T072246895413Z-INDHOTEL_NS,2026-08-14T10:15:00Z,INDHOTEL.NS,SHORT,Watch,Mixed,0.304348,69,Exact,1.079283,3.0,720.0000,685.3570,752.0982,HORIZON,3,false,false,true,0.010417,-0.005069,0.001389,true
TIME006-20260814T101500Z-gen20260820T072246895413Z-INDUSINDBK_NS,2026-08-14T10:15:00Z,INDUSINDBK.NS,SHORT,Watch,Mixed,0.375000,72,Exact,1.546853,3.0,1020.8000,973.6729,1051.2664,HORIZON,3,false,false,true,0.017927,0.000000,0.005682,true
TIME006-20260814T101500Z-gen20260820T072246895413Z-INDUSTOWER_NS,2026-08-14T10:15:00Z,INDUSTOWER.NS,LONG,NoTrade,Unfavourable,0.280000,100,Exact,1.267887,4.0,384.3500,404.7704,368.2442,NO_TRADE,4,false,false,false,0.001691,-0.039808,-0.034994,false
TIME006-20260814T101500Z-gen20260820T072246895413Z-INFY_NS,2026-08-14T10:15:00Z,INFY.NS,SHORT,Sell,Favourable,0.434211,152,StateOnly,0.934153,3.0,1170.3000,1127.6061,1216.0034,TARGET_GAP_THROUGH,2,true,false,false,0.049389,0.000000,0.039135,true
TIME006-20260814T101500Z-gen20260820T072246895413Z-IOC_NS,2026-08-14T10:15:00Z,IOC.NS,SHORT,Watch,Mixed,0.327869,61,Exact,0.938649,4.0,139.4000,134.0720,145.0762,HORIZON,4,false,false,true,0.014993,-0.002870,0.013701,true
TIME006-20260814T101500Z-gen20260820T072246895413Z-IRCTC_NS,2026-08-14T10:15:00Z,IRCTC.NS,LONG,NoTrade,Unfavourable,0.263158,190,Exact,0.970591,4.0,497.5000,514.5416,479.9420,NO_TRADE,4,false,false,false,0.010553,-0.015075,-0.010553,false
TIME006-20260814T101500Z-gen20260820T072246895413Z-ITC_NS,2026-08-14T10:15:00Z,ITC.NS,LONG,Watch,Mixed,0.361111,144,Exact,0.801442,3.0,278.2000,283.8509,271.1491,RISK,2,false,true,false,0.000000,-0.032531,-0.025345,true
TIME006-20260814T101500Z-gen20260820T072246895413Z-JINDALSTEL_NS,2026-08-14T10:15:00Z,JINDALSTEL.NS,SHORT,Watch,Mixed,0.375000,192,StateOnly,0.993717,3.0,1091.5000,1037.1699,1146.1736,HORIZON,3,false,false,true,0.001374,-0.025836,-0.009162,true
TIME006-20260814T101500Z-gen20260820T072246895413Z-JSWSTEEL_NS,2026-08-14T10:15:00Z,JSWSTEEL.NS,SHORT,Watch,Mixed,0.307692,156,StateOnly,0.985939,3.0,1270.0000,1216.8967,1323.8607,HORIZON,3,false,false,true,0.015433,-0.021260,0.001890,true
TIME006-20260814T101500Z-gen20260820T072246895413Z-JUBLFOOD_NS,2026-08-14T10:15:00Z,JUBLFOOD.NS,SHORT,Watch,Mixed,0.333333,102,StateOnly,1.113889,4.0,504.1000,483.3705,522.7101,HORIZON,4,false,false,true,0.015275,-0.016862,0.003769,true
TIME006-20260814T101500Z-gen20260820T072246895413Z-KOTAKBANK_NS,2026-08-14T10:15:00Z,KOTAKBANK.NS,LONG,Watch,Mixed,0.329545,88,Exact,1.204319,4.0,391.1500,403.2878,381.0715,HORIZON,4,false,false,true,0.013294,-0.011249,-0.007158,true
TIME006-20260814T101500Z-gen20260820T072246895413Z-LICI_NS,2026-08-14T10:15:00Z,LICI.NS,LONG,NoTrade,Unfavourable,0.283784,148,Exact,1.282788,3.0,413.5000,429.6751,400.8906,NO_TRADE,3,false,false,false,0.003265,-0.015719,-0.008464,false
