ticker,direction,date,entry_price,exit_reason,realized_return,h300_counterfactual_ret,candidate_stop_pct,coverage_quality,n_obs,was_ever_positive,max_positive_ret,max_positive_time,max_adverse_ret,max_adverse_time,best_exit_time,best_exit_ret,recoverable_pp,invert_opportunity,invert_peak_ret,invert_peak_time,loss_category
TECHM_NS,LONG,20260907,1564.000000,STOP,-0.001918,0.001407,-0.001918,LIMITED,2,True,0.003644,10:07,-0.003517,09:46,10:07,0.003644,-0.005562,False,0.000833,09:46,STOP_PREMATURE
AMBUJACEM_NS,LONG,20260908,396.950012,STOP,-0.003149,0.005164,-0.003149,USABLE,5,True,0.005164,10:14,-0.003653,10:05,10:14,0.005164,-0.008313,False,0.000632,10:05,STOP_PREMATURE
ASIANPAINT_NS,LONG,20260908,2476.899902,STOP,-0.000505,0.001090,-0.000505,LIMITED,4,True,0.002382,09:30,-0.001009,10:05,09:30,0.002382,-0.002887,False,0.001251,10:05,THESIS_DETERIORATION
BHARTIARTL_NS,LONG,20260908,1832.199951,STOP,-0.000546,-0.000382,-0.000546,USABLE,5,True,0.004366,09:31,-0.000382,10:14,09:31,0.004366,-0.004912,False,0.000000,None,THESIS_DETERIORATION
HDFCBANK_NS,LONG,20260908,706.349976,STOP,-0.001133,0.001062,-0.001133,USABLE,5,True,0.001416,09:50,-0.000920,09:42,09:50,0.001416,-0.002549,False,0.000000,None,THESIS_DETERIORATION
MARUTI_NS,LONG,20260908,12636.000000,STOP,-0.001308,-0.000317,-0.001308,LIMITED,4,True,0.002612,09:31,-0.001425,10:11,09:31,0.002612,-0.003920,False,-0.000555,10:12,STOP_PREMATURE
TATACONSUM_NS,LONG,20260908,1009.900024,STOP,-0.000792,0.005050,-0.000792,LIMITED,4,True,0.005050,10:13,-0.001287,09:59,10:13,0.005050,-0.005842,False,0.000694,09:59,STOP_PREMATURE
ULTRACEMCO_NS,LONG,20260908,11113.000000,STOP,-0.002610,0.002250,-0.002610,LIMITED,4,True,0.002250,10:14,-0.004319,09:59,10:14,0.002250,-0.004860,False,-0.000723,10:00,STOP_PREMATURE
UPL_NS,LONG,20260908,573.700012,STOP,-0.002074,0.002963,-0.002070,LIMITED,4,True,0.002963,10:14,-0.002266,10:06,10:14,0.002963,-0.005037,False,-0.000262,10:07,STOP_PREMATURE
COLPAL_NS,LONG,20260909,1800.000000,STOP,-0.001083,-0.000889,-0.001083,LIMITED,4,True,0.004444,09:34,-0.001944,10:11,09:34,0.004444,-0.005527,False,0.001112,10:11,THESIS_DETERIORATION
DABUR_NS,LONG,20260909,371.549988,STOP,-0.002934,-0.007267,-0.002934,USABLE,5,True,0.002019,09:38,-0.009016,10:12,09:38,0.002019,-0.004953,True,0.006208,10:12,MISSED_INVERSION
HEROMOTOCO_NS,LONG,20260909,5218.000000,STOP,-0.002300,-0.001150,-0.002300,SPARSE,1,True,0.005558,09:30,-0.002300,10:07,09:30,0.005558,-0.007858,False,0.000000,None,THESIS_DETERIORATION
LICI_NS,LONG,20260909,407.500000,HORIZON,-0.002209,-0.002209,-0.002209,USABLE,5,True,0.005153,09:40,-0.002209,10:14,09:40,0.005153,-0.007362,False,0.000000,None,THESIS_DETERIORATION
LUPIN_NS,LONG,20260909,2100.000000,HORIZON,-0.001190,-0.001190,-0.031572,USABLE,5,True,0.008952,09:28,-0.001810,10:11,09:28,0.008952,-0.010142,False,0.000000,None,THESIS_DETERIORATION
MUTHOOTFIN_NS,LONG,20260909,2815.000000,STOP,-0.002099,-0.004440,-0.002098,LIMITED,2,True,0.010231,09:29,-0.005435,10:07,09:29,0.010231,-0.012330,True,0.003204,10:07,MISSED_INVERSION
NESTLEIND_NS,LONG,20260909,1393.000000,HORIZON,-0.001149,-0.001149,-0.002790,USABLE,5,True,0.005599,09:28,-0.002369,10:08,09:28,0.005599,-0.006748,False,0.000000,None,THESIS_DETERIORATION
PIDILITIND_NS,LONG,20260909,1572.000000,STOP,-0.000573,0.000954,-0.000573,SPARSE,1,True,0.002990,09:40,-0.001145,09:51,09:40,0.002990,-0.003563,False,0.001145,09:51,STOP_PREMATURE
SBILIFE_NS,LONG,20260909,1684.000000,STOP,-0.000772,0.001781,-0.000772,USABLE,5,True,0.007601,09:31,-0.000653,09:59,09:31,0.007601,-0.008373,False,-0.000772,10:10,STOP_PREMATURE
