ticker,direction,date,entry_price,adaptive_target,adaptive_risk,candidate_stop_pct,candidate_stop_price,coverage_quality,n_obs,final_tier,exit_price,exit_time_ist,exit_reason,realized_return,max_adverse_excursion,bars_held,reassess_triggered,reassess_bar,reassess_time_ist,h300_counterfactual_ret
MARUTI_NS,LONG,20260904,12694.000000,13032.504733,12300.585052,-0.001308,12677.400000,LIMITED,4,mae_h60_p50,12761.000000,09:39,REASSESS_EXIT,0.005278,0.000000,13,True,25,09:39,0.005121
MPHASIS_NS,LONG,20260904,2422.000000,2544.144042,2309.777008,-0.006273,2406.810000,LIMITED,2,mae_h60_p50,2477.899902,09:34,REASSESS_EXIT,0.023080,0.000000,8,True,20,09:34,0.015731
PETRONET_NS,LONG,20260904,288.100006,297.146921,280.031208,-0.000345,288.000000,LIMITED,2,mae_h60_p50,291.600006,10:14,HORIZON,0.012149,0.000000,48,False,None,None,0.012149
PNB_NS,SHORT,20260904,117.000000,110.778212,121.706491,-0.008563,116.000000,USABLE,5,mae_h300_p50,116.000000,09:27,STOP,0.008547,0.000000,1,False,None,None,-0.000769
POLYCAB_NS,LONG,20260904,8300.000000,8785.713965,7918.537249,-0.004130,8265.720000,USABLE,5,mae_h300_p50,8365.000000,10:06,REASSESS_EXIT,0.007831,0.000000,40,True,52,10:06,0.009880
SUNPHARMA_NS,LONG,20260904,1899.000000,1954.046285,1840.155203,-0.000792,1897.500000,LIMITED,3,mae_h60_p50,1906.900024,10:14,HORIZON,0.004160,0.000000,48,False,None,None,0.004160
TATACONSUM_NS,LONG,20260904,1010.000000,1054.033003,980.818615,-0.000446,1009.550000,LIMITED,4,mae_h60_p50,1016.299988,09:44,REASSESS_EXIT,0.006238,0.000000,18,True,30,09:44,0.006337
TECHM_NS,LONG,20260904,1596.900024,1668.545155,1530.611738,-0.001918,1593.840000,LIMITED,2,mae_h300_p50,1604.300049,09:49,REASSESS_EXIT,0.004634,0.000000,23,True,35,09:49,0.002630
TORNTPHARM_NS,LONG,20260904,4857.000000,5026.057729,4682.927690,-0.008038,4817.960000,LIMITED,2,mae_h60_p50,4911.000000,10:14,HORIZON,0.011118,0.000000,48,False,None,None,0.011118
UNITDSPR_NS,LONG,20260904,1471.699951,1521.987517,1416.012923,-0.037839,1416.010000,LIMITED,3,adaptive_risk,1482.400024,10:15,HORIZON,0.007271,0.000000,48,False,None,None,0.007271
VBL_NS,LONG,20260904,407.600006,423.642589,392.924659,-0.002085,406.750000,USABLE,5,mae_h300_p50,408.600006,10:14,HORIZON,0.002453,0.000000,48,False,None,None,0.002453
