ticker,direction,n_obs,mae_h300_p25,mae_h300_p50,mae_h300_p75,mae_h300_p90,mae_h300_p95,mae_h60_p50,mae_h60_p75,mfe_h300_p50,win_rate_h300,recovery_rate,mean_ret_h300,mean_time_to_recovery_bars
IOC_NS,LONG,5,-0.011248,-0.005305,-0.003487,-0.001395,-0.000697,-0.005305,-0.003487,0.000000,0.400000,0.400000,-0.002276,1
IRCTC_NS,LONG,2,-0.003151,-0.002101,-0.001050,-0.000420,-0.000210,-0.002101,-0.001050,0.005157,1.000000,1.000000,0.002474,2
ITC_NS,LONG,5,-0.002846,-0.001518,0.000000,0.000000,0.000000,-0.001518,0.000000,0.005313,0.800000,0.800000,0.003428,7.800000
JINDALSTEL_NS,SHORT,2,-0.014607,-0.009738,-0.004869,-0.001948,-0.000974,-0.009170,-0.004585,0.010515,0.500000,0.500000,0.006672,1
JSWSTEEL_NS,SHORT,5,-0.012997,-0.001990,0.000000,0.000000,0.000000,-0.001607,0.000000,0.003291,0.400000,0.400000,0.002211,1
JUBLFOOD_NS,SHORT,4,-0.009832,-0.005848,-0.004146,-0.003234,-0.002930,-0.004864,-0.004146,0.001786,0.250000,0.250000,-0.004319,20.333333
KOTAKBANK_NS,SHORT,4,-0.007458,-0.003915,-0.002575,-0.001666,-0.001363,-0.003915,-0.002310,0.001956,0.250000,0.250000,-0.000363,8.666667
LICI_NS,LONG,5,-0.003140,-0.002209,-0.000120,-0.000048,-0.000024,0.000000,0.000000,0.008466,0.600000,0.600000,0.000567,1
LT_NS,LONG,2,-0.006864,-0.004576,-0.002288,-0.000915,-0.000458,-0.004576,-0.002288,0.003254,0.500000,0.500000,0.001643,1
LT_NS,SHORT,2,-0.020168,-0.015505,-0.010843,-0.008045,-0.007113,-0.015047,-0.010614,0.000252,0.000000,0.000000,-0.009837,49
LUPIN_NS,LONG,5,-0.000334,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010119,0.800000,0.800000,0.004612,1
M&M_NS,LONG,1,-0.010127,-0.010127,-0.010127,-0.010127,-0.010127,-0.005778,-0.005778,0.000000,0.000000,0.000000,-0.008190,nan
M&M_NS,SHORT,4,-0.015714,-0.009532,-0.003299,-0.001320,-0.000660,-0.007982,-0.000973,0.004304,0.250000,0.250000,-0.004090,16.333333
MAHABANK_NS,SHORT,5,-0.011286,-0.003780,-0.002549,-0.001871,-0.001645,-0.002244,-0.001419,0.005316,0.400000,0.400000,-0.001318,12.750000
MARICO_NS,LONG,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008649,1.000000,1.000000,0.006256,1
MARUTI_NS,LONG,4,-0.005281,-0.002654,-0.001306,-0.000522,-0.000261,-0.001308,0.000000,0.005581,0.250000,0.250000,0.000193,10.250000
MPHASIS_NS,LONG,2,-0.009409,-0.006273,-0.003136,-0.001255,-0.000627,-0.006273,-0.003136,0.016660,0.500000,0.500000,0.003313,1
MRF_NS,LONG,3,-0.004652,-0.003304,-0.002370,-0.001809,-0.001622,-0.003304,-0.001652,0.002254,0.333333,0.333333,-0.000819,20.500000
MUTHOOTFIN_NS,LONG,2,-0.006218,-0.005544,-0.004870,-0.004466,-0.004331,-0.002098,-0.001049,0.008755,0.500000,0.500000,-0.001093,6
MUTHOOTFIN_NS,SHORT,3,-0.021268,-0.020195,-0.013830,-0.010011,-0.008738,-0.017803,-0.012183,0.000000,0.000000,0.000000,-0.009903,4
NAUKRI_NS,SHORT,4,-0.016625,-0.011180,-0.007235,-0.006683,-0.006498,-0.010566,-0.004736,0.006790,0.750000,0.750000,-0.002016,4.333333
NESTLEIND_NS,LONG,5,-0.004254,-0.002790,-0.002584,-0.001669,-0.001364,-0.001059,0.000000,0.004041,0.400000,0.400000,0.000863,1.600000
NMDC_NS,SHORT,5,-0.021228,-0.006187,-0.003542,-0.001417,-0.000708,-0.006187,-0.003542,0.001063,0.400000,0.400000,-0.003738,26.333333
NTPC_NS,LONG,5,-0.008120,-0.006337,-0.005137,-0.004224,-0.003919,-0.006337,-0.005137,0.003778,0.400000,0.400000,-0.000668,11
OFSS_NS,SHORT,5,-0.016966,-0.008426,-0.006147,-0.003743,-0.002941,-0.008426,-0.003074,0.003967,0.400000,0.400000,-0.001968,5.333333
ONGC_NS,LONG,5,-0.001030,-0.000856,0.000000,0.000000,0.000000,-0.000471,0.000000,0.006975,0.800000,0.800000,0.003115,7.600000
PAGEIND_NS,LONG,4,-0.011384,-0.004743,0.000000,0.000000,0.000000,-0.004743,0.000000,0.006423,0.750000,0.750000,0.002500,20
PERSISTENT_NS,SHORT,5,-0.011733,-0.009411,-0.001706,-0.000682,-0.000341,-0.009411,0.000000,0.003783,0.400000,0.400000,0.000083,4.750000
PETRONET_NS,LONG,2,-0.000518,-0.000345,-0.000173,-0.000069,-0.000035,-0.000345,-0.000173,0.010742,1.000000,1.000000,0.007629,1
PIDILITIND_NS,LONG,1,-0.001145,-0.001145,-0.001145,-0.001145,-0.001145,-0.000573,-0.000573,0.008015,1.000000,1.000000,0.000954,1
PIDILITIND_NS,SHORT,4,-0.015375,-0.007268,-0.004050,-0.001620,-0.000810,-0.007268,-0.004050,0.001879,0.750000,0.750000,-0.003863,22.666667
PNB_NS,SHORT,5,-0.013408,-0.008563,-0.001282,-0.001183,-0.001151,-0.005536,0.000000,0.001384,0.000000,0.000000,-0.003984,1
POLYCAB_NS,LONG,5,-0.009926,-0.004130,-0.001987,-0.000795,-0.000397,-0.003112,-0.001987,0.010786,0.400000,0.400000,0.001808,9.800000
POWERGRID_NS,LONG,2,-0.000564,-0.000376,-0.000188,-0.000075,-0.000038,-0.000282,-0.000141,0.011856,1.000000,1.000000,0.007622,1
RECLTD_NS,LONG,5,-0.002852,-0.000474,0.000000,0.000000,0.000000,-0.000317,0.000000,0.008903,0.800000,0.800000,0.002512,1
RELIANCE_NS,LONG,1,-0.000860,-0.000860,-0.000860,-0.000860,-0.000860,-0.000860,-0.000860,0.007740,1.000000,1.000000,0.004691,1
RELIANCE_NS,SHORT,4,-0.010964,-0.009309,-0.006767,-0.005059,-0.004490,-0.007411,-0.002940,0.000999,0.000000,0.000000,-0.004103,4.500000
SAIL_NS,SHORT,5,-0.015431,-0.009365,-0.009227,-0.008417,-0.008146,-0.009365,-0.007012,0.002381,0.400000,0.400000,-0.002993,15.666667
SBILIFE_NS,LONG,5,-0.002263,-0.000772,0.000000,0.000000,0.000000,0.000000,0.000000,0.010926,0.800000,0.800000,0.000844,1
SBIN_NS,LONG,2,-0.005772,-0.003848,-0.001924,-0.000770,-0.000385,-0.003848,-0.001924,0.011302,1.000000,1.000000,0.003545,5.500000
SBIN_NS,SHORT,3,-0.009806,-0.009743,-0.006213,-0.004096,-0.003390,-0.009743,-0.004921,0.000000,0.000000,0.000000,-0.005997,1
SHREECEM_NS,LONG,4,-0.003423,-0.001572,0.000000,0.000000,0.000000,-0.001065,0.000000,0.010917,1.000000,1.000000,0.007377,1.500000
