ticker,direction,date,entry_price,adaptive_target,adaptive_risk,candidate_stop_pct,candidate_stop_price,stop_confidence,coverage_quality,n_obs,path_context,final_tier,exit_price,exit_time_ist,exit_reason,realized_return,max_adverse_excursion,max_favourable_excursion,bars_held,h300_counterfactual_ret,stop_consequence_pp
MUTHOOTFIN_NS,LONG,20260909,2815.000000,2905.518779,2678.653429,-0.002098,2809.090000,LOW,LIMITED,2,STRONG_FAVOUR,mae_h60_p50,2809.090000,10:00,STOP,-0.002099,-0.002487,0.010409,34,-0.004440,0.002341
NAUKRI_NS,SHORT,20260909,1267.000000,1187.445582,1319.113713,-0.011180,1252.830000,LOW,LIMITED,4,NORMAL,mae_h300_p50,1252.830000,09:27,STOP,0.011184,0.000000,0.004657,1,0.001342,0.009842
NESTLEIND_NS,LONG,20260909,1393.000000,1434.906461,1359.326901,-0.002790,1389.110000,MEDIUM,USABLE,5,STRONG_FAVOUR,mae_h300_p50,1391.400024,10:14,HORIZON,-0.001149,-0.002584,0.005599,48,-0.001149,0.000000
ONGC_NS,LONG,20260909,234.020004,241.643402,226.220503,-0.000856,233.820000,MEDIUM,USABLE,5,STRONG_FAVOUR,mae_h300_p50,236.789993,10:14,HORIZON,0.011837,0.000000,0.019443,48,0.011837,0.000000
PAGEIND_NS,LONG,20260909,35395.000000,36845.876937,34213.466619,-0.004743,35227.120000,LOW,LIMITED,4,STRONG_FAVOUR,mae_h60_p50,35800.000000,10:28,HORIZON,0.011442,0.000000,0.012149,48,0.011442,0.000000
PIDILITIND_NS,LONG,20260909,1572.000000,1625.077088,1524.946060,-0.000573,1571.100000,LOW,SPARSE,1,NORMAL,mae_h60_p50,1571.100000,09:27,STOP,-0.000573,-0.000763,0.000318,1,0.000954,-0.001527
RECLTD_NS,LONG,20260909,314.500000,326.226324,300.316001,-0.000474,314.350000,MEDIUM,USABLE,5,STRONG_FAVOUR,mae_h300_p50,315.399994,10:14,HORIZON,0.002862,0.000000,0.008903,48,0.002862,0.000000
RELIANCE_NS,LONG,20260909,1279.000000,1314.674682,1241.550449,-0.000860,1277.900000,LOW,SPARSE,1,NORMAL,mae_h60_p50,1285.000000,10:14,HORIZON,0.004691,0.000000,0.007740,48,0.004691,0.000000
SBILIFE_NS,LONG,20260909,1684.000000,1749.069147,1631.197937,-0.000772,1682.700000,MEDIUM,USABLE,5,STRONG_FAVOUR,mae_h300_p50,1682.700000,10:03,STOP,-0.000772,-0.000772,0.009026,37,0.001781,-0.002553
SHREECEM_NS,LONG,20260909,22950.000000,23749.225431,22194.045608,-0.001572,22913.920000,LOW,LIMITED,4,NORMAL,mae_h300_p50,23155.000000,10:16,HORIZON,0.008932,0.000000,0.009150,48,0.008932,0.000000
TATACONSUM_NS,LONG,20260909,1001.000000,1044.640630,972.078647,-0.000446,1000.550000,LOW,LIMITED,4,STRONG_FAVOUR,mae_h60_p50,1004.700012,10:14,HORIZON,0.003696,0.000000,0.011389,48,0.003696,0.000000
ULTRACEMCO_NS,LONG,20260909,10900.000000,11205.298300,10592.729744,-0.002610,10871.550000,LOW,LIMITED,4,STRONG_FAVOUR,mae_h300_p50,10949.000000,10:14,HORIZON,0.004495,0.000000,0.007248,48,0.004495,0.000000
UNITDSPR_NS,LONG,20260909,1405.199951,1453.215231,1352.029188,-0.037839,1352.030000,LOW,LIMITED,3,STRONG_FAVOUR,adaptive_risk,1416.099976,10:14,HORIZON,0.007757,0.000000,0.016439,48,0.007757,0.000000
VEDL_NS,SHORT,20260909,272.500000,259.193630,284.764362,-0.002020,271.950000,MEDIUM,USABLE,5,NORMAL,mae_h300_p75,271.950000,09:27,STOP,0.002018,-0.000367,0.000734,1,0.003670,-0.001651
WIPRO_NS,LONG,20260909,167.000000,171.747997,160.619820,-0.001257,166.790000,LOW,LIMITED,2,NORMAL,mae_h300_p50,168.149994,10:14,HORIZON,0.006886,0.000000,0.011258,48,0.006886,0.000000
