ticker,direction,date,entry_price,ret_h60,ret_h120,ret_h300,mae_h60,mae_h120,mae_h180,mae_h300,mfe_h60,mfe_h120,mfe_h300,recovered_to_positive,time_to_recovery_bars,n_bars
ULTRACEMCO_NS,LONG,20260907,11175.000000,0.008680,0.010291,0.006443,0.000000,0.000000,0.000000,0.000000,0.016465,0.016465,0.016465,True,1,361
ULTRACEMCO_NS,LONG,20260908,11113.000000,0.000810,0.001170,0.002250,0.000000,0.000000,-0.000810,-0.005219,0.003419,0.003419,0.003419,True,1,360
ULTRACEMCO_NS,LONG,20260909,10900.000000,0.006055,0.005688,0.004495,0.000000,0.000000,0.000000,0.000000,0.007248,0.007248,0.007248,True,1,361
UNITDSPR_NS,LONG,20260904,1471.699951,0.008086,0.006387,0.007271,0.000000,0.000000,0.000000,0.000000,0.012367,0.012367,0.012367,True,1,357
UNITDSPR_NS,LONG,20260907,1440.000000,0.016458,0.013889,0.014653,0.000000,0.000000,0.000000,0.000000,0.019653,0.019653,0.019653,True,1,360
UNITDSPR_NS,LONG,20260909,1405.199951,0.015941,0.015016,0.007757,0.000000,0.000000,0.000000,0.000000,0.024552,0.024552,0.024552,True,1,361
UNITDSPR_NS,SHORT,20260908,1434.500000,0.002858,0.002370,-0.001603,-0.000906,-0.000906,-0.000906,-0.002231,0.003486,0.005228,0.005228,False,1,361
UPL_NS,LONG,20260904,582.150024,-0.002920,-0.002061,0.000000,-0.002920,-0.004638,-0.004638,-0.004638,0.001890,0.001890,0.001890,False,1,361
UPL_NS,LONG,20260907,573.000000,0.016056,0.018586,0.014223,0.000000,0.000000,0.000000,0.000000,0.023473,0.023473,0.023473,True,1,361
UPL_NS,LONG,20260908,573.700012,0.002266,0.001830,0.002963,-0.001220,-0.001220,-0.001220,-0.002789,0.005316,0.005316,0.005316,True,1,361
UPL_NS,LONG,20260909,575.700012,-0.005211,-0.004343,-0.008251,-0.008164,-0.008164,-0.008164,-0.012420,0.000000,0.000000,0.000000,False,None,361
VBL_NS,LONG,20260903,407.149994,0.010930,0.011666,0.014859,0.000000,0.000000,0.000000,0.000000,0.020263,0.020263,0.020263,True,1,361
VBL_NS,LONG,20260904,407.600006,0.003925,0.002453,0.002453,-0.002085,-0.002085,-0.002085,-0.002085,0.005275,0.005275,0.005275,True,2,361
VBL_NS,LONG,20260907,405.950012,-0.001971,-0.002833,-0.003079,-0.003079,-0.003572,-0.004557,-0.004557,0.003202,0.003202,0.003202,False,2,360
VBL_NS,LONG,20260908,404.450012,0.002349,0.000247,0.003709,0.000000,0.000000,-0.000865,-0.001854,0.009519,0.009519,0.009519,True,1,361
VBL_NS,LONG,20260909,407.000000,-0.011916,-0.012531,-0.019779,-0.021499,-0.021499,-0.021499,-0.021499,0.000000,0.000000,0.000000,False,None,361
VEDL_NS,SHORT,20260903,270.500000,-0.009982,-0.011275,-0.007024,-0.012754,-0.015527,-0.015527,-0.015527,0.000000,0.000000,0.000000,False,None,361
VEDL_NS,SHORT,20260904,272.100006,0.005880,0.005880,0.009372,0.000000,0.000000,0.000000,0.000000,0.006799,0.007350,0.011944,True,1,361
VEDL_NS,SHORT,20260907,268.000000,-0.004478,-0.008209,-0.005224,-0.015672,-0.015672,-0.015672,-0.015672,0.000000,0.000000,0.000000,False,None,361
VEDL_NS,SHORT,20260908,272.250000,0.002571,-0.001469,-0.001469,-0.000184,-0.002020,-0.002020,-0.002020,0.008081,0.008081,0.008081,False,1,360
VEDL_NS,SHORT,20260909,272.500000,0.000183,0.004587,0.003670,-0.000367,-0.002569,-0.002569,-0.002569,0.012110,0.012110,0.012110,True,1,361
WIPRO_NS,LONG,20260907,172.800003,0.005613,0.004167,0.006655,0.000000,0.000000,0.000000,0.000000,0.019792,0.019792,0.019792,True,1,361
WIPRO_NS,LONG,20260909,167.000000,0.006946,0.011018,0.006886,-0.002515,-0.002515,-0.002515,-0.002515,0.012455,0.012455,0.012455,True,1,361
WIPRO_NS,SHORT,20260903,175.720001,-0.004382,-0.008024,-0.006374,-0.011609,-0.011609,-0.011609,-0.011609,0.000000,0.000000,0.000000,False,None,361
WIPRO_NS,SHORT,20260904,176.399994,-0.008900,-0.007880,-0.007086,-0.013152,-0.013152,-0.013152,-0.013152,0.000000,0.000000,0.000000,False,None,361
WIPRO_NS,SHORT,20260908,172.199997,0.001394,0.001742,-0.000000,-0.002613,-0.002613,-0.002613,-0.002613,0.001568,0.004646,0.004646,False,2,361
