evidence_row_id,as_of,ticker,direction,action,evidence_class,target_rate,sample_size,degradation_level,adaptive_rr,adaptive_horizon_sessions,reference_price,adaptive_target,adaptive_risk,exit_reason,sessions_to_outcome,target_reached,risk_reached,horizon_reached,actual_mfe,actual_mae,realized_return,eligible_for_primary_comparison
TIME006-20260323T034500Z-gen20260820T091358064963Z-HCLTECH_NS,2026-03-23T03:45:00Z,HCLTECH.NS,LONG,NoTrade,Unfavourable,0.299320,147,Exact,0.928654,3.0,1358.6000,1409.3234,1303.9796,NO_TRADE,2,false,false,false,0.038864,-0.007802,0.037335,false
TIME006-20260323T034500Z-gen20260820T091358064963Z-HDFCBANK_NS,2026-03-23T03:45:00Z,HDFCBANK.NS,LONG,Buy,Favourable,0.423358,137,Exact,0.862956,4.0,744.1500,760.2611,725.4804,TARGET,1,true,false,false,0.038433,0.000000,0.021650,true
TIME006-20260323T034500Z-gen20260820T091358064963Z-HDFCLIFE_NS,2026-03-23T03:45:00Z,HDFCLIFE.NS,LONG,Watch,Mixed,0.322581,155,Exact,0.859167,4.0,592.1000,609.9768,571.2928,TARGET,2,true,false,false,0.042392,-0.003462,0.030192,true
TIME006-20260323T034500Z-gen20260820T091358064963Z-HEROMOTOCO_NS,2026-03-23T03:45:00Z,HEROMOTOCO.NS,LONG,Watch,Mixed,0.317241,145,Exact,0.918744,4.0,5065.0000,5255.0921,4858.0956,TARGET,1,true,false,false,0.049753,0.000000,0.037531,true
TIME006-20260323T034500Z-gen20260820T091358064963Z-HINDALCO_NS,2026-03-23T03:45:00Z,HINDALCO.NS,LONG,Watch,Mixed,0.394231,104,Exact,0.796659,4.0,840.2500,877.4614,793.5407,TARGET,4,true,false,false,0.086581,0.000000,0.044286,true
TIME006-20260323T034500Z-gen20260820T091358064963Z-HINDUNILVR_NS,2026-03-23T03:45:00Z,HINDUNILVR.NS,LONG,Watch,Mixed,0.353293,167,Exact,1.007617,4.0,2052.2000,2104.6069,2000.1891,TARGET,1,true,false,false,0.030601,0.000000,0.025537,true
TIME006-20260323T034500Z-gen20260820T091358064963Z-ICICIBANK_NS,2026-03-23T03:45:00Z,ICICIBANK.NS,LONG,Buy,Favourable,0.469565,115,Exact,1.207144,4.0,1222.7000,1260.3123,1191.5418,TARGET,2,true,false,false,0.041057,0.000000,0.030762,true
TIME006-20260323T034500Z-gen20260820T091358064963Z-ICICIPRULI_NS,2026-03-23T03:45:00Z,ICICIPRULI.NS,LONG,NoTrade,Unfavourable,0.256757,148,Exact,0.875273,3.5,531.2500,550.3153,509.4679,NO_TRADE,2,false,false,false,0.038588,-0.011765,0.035888,false
TIME006-20260323T034500Z-gen20260820T091358064963Z-IDEA_NS,2026-03-23T03:45:00Z,IDEA.NS,LONG,NoTrade,Unfavourable,0.241176,170,Exact,1.249998,3.0,8.7000,9.4250,8.1200,NO_TRADE,3,false,false,false,0.054023,0.000000,0.021839,false
TIME006-20260323T034500Z-gen20260820T091358064963Z-IDFCFIRSTB_NS,2026-03-23T03:45:00Z,IDFCFIRSTB.NS,LONG,NoTrade,Unfavourable,0.240506,158,Exact,1.003608,4.0,60.2400,62.7562,57.7329,NO_TRADE,2,false,false,false,0.054947,0.000000,0.041769,false
